Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-05-21 16:05:18,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,5648561,5394323,5429926,5409708,5417834,5422255,5439799,5358970,5385865,5432981,5434021,5434021
2024-05-21 16:05:18,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3863618,3245838,3221885,3220925,3236486,3194507,3201548,3221107,3232935,3195811,3283465,3283465
2024-05-21 16:05:18,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,4958366,3973465,3826738,2933256,2923882,2935014,2957305,2991332,2990409,2963515,3345327,3345327
2024-05-21 16:05:18,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5040493,4990215,4946169,4992125,5018127,4977174,4962540,5097767,4948600,4947757,4992096,4992096
2024-05-21 16:05:18,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,3914032,3840677,3812305,3847608,3832874,3823961,3851890,3829905,3858182,3893224,3850465,3850465
2024-05-21 16:05:19,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3552678,3413027,3399940,3392269,3450387,3414001,3419225,3389400,3413023,3384575,3422852,3422852
2024-05-21 16:05:19,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2623516,2603668,2612038,2631111,2653898,2793720,2702461,2765718,2731199,2688436,2680576,2680576
2024-05-21 16:05:19,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,4746594,4805750,4978118,4927053,4926563,4910414,4820684,4874781,4907574,4916033,4881356,4881356
2024-05-21 16:05:19,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3756610,3758888,3723313,3717363,3681681,3716720,3752973,3710334,3713745,3812868,3734449,3734449
2024-05-21 16:05:19,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3718524,3558456,3569957,3653087,3650006,3586533,3682744,3666398,3708592,3673990,3646828,3646828
2024-05-21 16:05:19,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2782817,2755360,2727245,2749258,2798532,2773695,2774859,2791633,2807859,2791597,2775284,2775284
2024-05-21 16:05:19,119,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4367282,4160861,4163062,4185264,4173215,4265603,4236571,4259468,4248668,4300529,4236052,4236052
2024-05-21 16:05:19,129,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3467672,3301452,3238380,3311722,3395076,3436046,3437052,3425304,3456301,3542267,3401126,3401126
2024-05-21 16:05:19,139,LinkedCells,1.000000,lc_c08,none,AoS,disabled,4943149,4901969,4879391,4915229,4917103,5007270,5054115,4993777,5035159,4968944,4961609,4961609
2024-05-21 16:05:19,149,LinkedCells,1.000000,lc_c08,none,AoS,enabled,3980754,3977735,4043844,3991990,3995558,4032916,4024797,4074080,4034001,4023937,4017960,4017960
2024-05-21 16:05:19,159,LinkedCells,1.000000,lc_c08,none,SoA,disabled,4114320,3922963,3968305,3971256,4011256,3960071,3915234,3918788,3936905,3936070,3965516,3965516
2024-05-21 16:05:19,169,LinkedCells,1.000000,lc_c08,none,SoA,enabled,3221424,3100069,3118362,3142866,3152422,3179199,3168682,3101766,3135569,3216343,3153670,3153670
2024-05-21 16:05:19,179,LinkedCells,1.000000,lc_c18,none,AoS,disabled,5163136,5137951,5128315,5101506,5096206,5131615,5081934,5154731,5175328,5177768,5134849,5134849
2024-05-21 16:05:19,189,LinkedCells,1.000000,lc_c18,none,AoS,enabled,4262977,4302345,4360629,4328126,4380496,4408201,4423741,4459984,4504004,4394173,4382467,4382467
2024-05-21 16:05:20,199,LinkedCells,1.000000,lc_c18,none,SoA,disabled,5027016,4861039,4868883,4868641,4822142,4809295,4791496,4821487,4780756,4800755,4845150,4845150
2024-05-21 16:05:20,209,LinkedCells,1.000000,lc_c18,none,SoA,enabled,3997473,3896770,3857278,3904970,3868839,3903202,3965039,3911573,3968371,3880059,3915357,3915357
2024-05-21 16:05:20,219,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,4365066,4260586,4255314,4339590,4867401,4244470,4524686,4258036,4249407,4233259,4359781,4359781
2024-05-21 16:05:20,229,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,3572991,3334357,3513612,3342592,3389052,3354254,3365744,3382862,3387984,3385380,3402882,3402882
2024-05-21 16:05:20,239,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,3379047,3230419,3219103,3271247,3255413,3392201,3244089,3247884,3258263,3269863,3276752,3276752
2024-05-21 16:05:20,249,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,2483797,2365809,2389191,2353753,2414439,2350291,2383605,2364703,2379338,2396682,2388160,2388160
2024-05-21 16:05:20,259,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,4857816,5027120,4264916,5219599,4212569,4186533,4254065,5094314,4284189,5207021,4660814,4660814
2024-05-21 16:05:20,269,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,3392647,3946702,3964061,3979874,3535135,3392868,3343876,3369764,3972869,3963624,3686141,3686141
2024-05-21 16:05:20,279,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,3546982,3326126,3290767,3301319,3345775,3599152,3408604,3382210,3648768,3648748,3449845,3449845
