Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed
2024-05-21 14:24:30,2,LinkedCells,1.000000,lc_c01,none,AoS,disabled,87348282,87725364,87700541,87665315,87665315
2024-05-21 14:24:30,5,LinkedCells,1.000000,lc_c01,none,SoA,disabled,23860149,21573414,21553086,21783792,21783792
2024-05-21 14:24:30,8,LinkedCells,1.000000,lc_c08,none,AoS,disabled,84587306,84691099,84641943,84636479,84636479
2024-05-21 14:24:30,11,LinkedCells,1.000000,lc_c08,none,AoS,enabled,51753830,51906936,51659379,51668824,51668824
2024-05-21 14:24:30,14,LinkedCells,1.000000,lc_c08,none,SoA,disabled,22202141,22095378,22082905,22094828,22094828
2024-05-21 14:24:31,17,LinkedCells,1.000000,lc_c08,none,SoA,enabled,13809173,13799950,13746305,13752591,13752591
2024-05-21 14:24:31,20,LinkedCells,1.000000,lc_c18,none,AoS,disabled,77814056,77578490,77601036,77602046,77602046
2024-05-21 14:24:31,23,LinkedCells,1.000000,lc_c18,none,AoS,enabled,48250077,48287499,48203094,48207792,48207792
2024-05-21 14:24:31,26,LinkedCells,1.000000,lc_c18,none,SoA,disabled,23099262,22913507,22879688,22901645,22901645
2024-05-21 14:24:31,29,LinkedCells,1.000000,lc_c18,none,SoA,enabled,14605726,14670067,14645514,14641535,14641535
2024-05-21 14:24:31,32,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,89458515,84932796,85585458,85385367,85385367
2024-05-21 14:24:32,35,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,52798673,51753764,55912500,51858254,51858254
2024-05-21 14:24:32,38,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,22511985,21884236,21918215,21947010,21947010
2024-05-21 14:24:32,41,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,13411994,13385282,13418524,13387953,13387953
2024-05-21 14:24:32,44,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,150486117,105465406,107231885,109967477,109967477
2024-05-21 14:24:32,47,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,78777507,44547862,45268924,47970826,47970826
2024-05-21 14:24:33,50,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,140932782,108680956,107972895,111268883,111268883
2024-05-21 14:24:33,53,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,72620622,55275550,55386825,57010057,57010057
2024-05-21 14:24:33,56,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,77568366,44317378,44298292,47625299,47625299
2024-05-21 14:24:33,59,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,39306569,22094278,22083860,23806130,23806130
2024-05-21 14:24:33,62,VerletClusterLists,1.000000,vcl_cluster_iteration,none,AoS,disabled,136363310,103348232,103467819,106649739,106649739
2024-05-21 14:24:34,65,VerletClusterLists,1.000000,vcl_cluster_iteration,none,SoA,disabled,76896836,43755107,43681589,47003113,47003113
2024-05-21 14:24:34,68,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,187962202,53401275,53271656,66740710,66740710
2024-05-21 14:24:34,71,VerletLists,1.000000,vl_list_iteration,none,SoA,disabled,201129235,27189543,27089922,44493853,44493853
2024-05-21 14:24:34,74,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,112578577,48243118,48324648,54676663,54676663
2024-05-21 14:24:35,77,VerletListsCells,1.000000,vlc_c01,none,SoA,disabled,200396002,26697280,26753675,44067152,44067152
2024-05-21 14:24:35,80,VerletListsCells,1.000000,vlc_c18,none,AoS,disabled,112325150,50455243,50566965,56642233,56642233
2024-05-21 14:24:35,83,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,61330141,27418282,27189425,30603496,30603496
2024-05-21 14:24:35,86,VerletListsCells,1.000000,vlc_c18,none,SoA,disabled,193226213,28267824,28296460,44763662,44763662
