Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed
2024-05-25 16:29:50,2,LinkedCells,1.000000,lc_c01,none,AoS,disabled,141421379,141148817,158281900,141166987,141166987
2024-05-25 16:29:51,5,LinkedCells,1.000000,lc_c01,none,SoA,disabled,112584682,106304035,105445319,105921276,105921276
2024-05-25 16:29:51,8,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,91975584,83330775,83822104,83907095,83907095
2024-05-25 16:29:53,11,LinkedCells,1.000000,lc_c04,none,AoS,disabled,140531828,142114663,143224739,142009140,142009140
2024-05-25 16:29:53,14,LinkedCells,1.000000,lc_c04,none,AoS,enabled,90009870,90397922,91634707,90372051,90372051
2024-05-25 16:29:55,17,LinkedCells,1.000000,lc_c04,none,SoA,disabled,109796237,108315706,108531495,108414408,108414408
2024-05-25 16:29:55,20,LinkedCells,1.000000,lc_c04,none,SoA,enabled,94905389,96050030,94284072,94325493,94325493
2024-05-25 16:29:57,23,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,145804123,144968738,145631475,145024430,145024430
2024-05-25 16:29:58,26,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,96840974,96574238,95383598,95480756,95480756
2024-05-25 16:29:59,29,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,115248630,114637030,115149138,114677803,114677803
2024-05-25 16:30:00,32,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,99638356,100346253,101462530,100299059,100299059
2024-05-25 16:30:01,35,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,101799376,102024576,102925308,102009562,102009562
2024-05-25 16:30:02,38,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,84744119,84302542,84115926,84157805,84157805
2024-05-25 16:30:03,41,LinkedCells,1.000000,lc_c08,none,AoS,disabled,169945979,168688228,169197998,168772078,168772078
2024-05-25 16:30:04,44,LinkedCells,1.000000,lc_c08,none,AoS,enabled,119297079,118461919,118932372,118517596,118517596
2024-05-25 16:30:05,47,LinkedCells,1.000000,lc_c08,none,SoA,disabled,117783548,118641484,117870056,117864288,117864288
2024-05-25 16:30:06,50,LinkedCells,1.000000,lc_c08,none,SoA,enabled,103734599,104120073,105513249,104094374,104094374
2024-05-25 16:30:07,53,LinkedCells,1.000000,lc_c18,none,AoS,disabled,157869164,157318314,158788840,157355037,157355037
2024-05-25 16:30:08,56,LinkedCells,1.000000,lc_c18,none,AoS,enabled,120198944,120154230,120409195,120157210,120157210
2024-05-25 16:30:09,59,LinkedCells,1.000000,lc_c18,none,SoA,disabled,166227497,166390339,165118952,165192855,165192855
2024-05-25 16:30:10,62,LinkedCells,1.000000,lc_c18,none,SoA,enabled,150911094,152030992,151411259,151377914,151377914
2024-05-25 16:30:12,65,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,139007753,137912328,138347159,137985356,137985356
2024-05-25 16:30:12,68,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,88163017,88864648,88743980,88705249,88705249
2024-05-25 16:30:13,71,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,76630263,76822172,76403613,76418723,76418723
2024-05-25 16:30:14,74,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,63014346,62233113,64105613,62285195,62285195
2024-05-25 16:30:15,77,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,139371729,137566750,137014563,137171707,137171707
2024-05-25 16:30:16,80,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,89450716,94035526,88492628,88556500,88556500
2024-05-25 16:30:17,83,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,76948655,75362500,78240756,75468243,75468243
2024-05-25 16:30:18,86,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,63944493,62091852,64246153,62215361,62215361
2024-05-25 16:30:19,89,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,142894306,138672547,138383783,138684484,138684484
2024-05-25 16:30:20,92,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,101721351,88696714,87674703,88611146,88611146
2024-05-25 16:30:21,95,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,77017089,77511814,79328780,77478832,77478832
2024-05-25 16:30:22,98,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,65531164,64748897,64629257,64689384,64689384
2024-05-25 16:30:23,101,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,141434502,144169632,144886464,143987290,143987290
2024-05-25 16:30:24,104,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,95189723,95702560,96676725,95668370,95668370
2024-05-25 16:30:25,107,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,78378693,77702355,76682990,76796036,76796036
2024-05-25 16:30:26,110,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,64248117,64141915,63586462,63630572,63630572
2024-05-25 16:30:28,113,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,896725805,359085399,357326395,393286355,393286355
2024-05-25 16:30:30,116,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,598626162,144122505,143970851,174281205,174281205
2024-05-25 16:30:32,119,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,815518767,362192588,363650178,392414333,392414333
2024-05-25 16:30:33,122,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,438463756,184652539,187823396,201573286,201573286
2024-05-25 16:30:34,125,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,599065683,144039210,144775391,174374308,174374308
2024-05-25 16:30:35,128,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,316559630,67608455,68206746,84205200,84205200
2024-05-25 16:30:37,131,VerletClusterLists,1.000000,vcl_sliced,none,AoS,disabled,886621721,435928259,433729077,463921919,463921919
2024-05-25 16:30:39,134,VerletClusterLists,1.000000,vcl_sliced,none,AoS,enabled,473437928,223642131,231070921,240295184,240295184
2024-05-25 16:30:40,137,VerletClusterLists,1.000000,vcl_sliced,none,SoA,disabled,592852223,134105128,135652756,164688267,164688267
2024-05-25 16:30:41,140,VerletClusterLists,1.000000,vcl_sliced,none,SoA,enabled,316885316,64078387,64238291,80932182,80932182
2024-05-25 16:30:43,143,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,disabled,891375877,486182322,485533001,512589192,512589192
2024-05-25 16:30:45,146,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,enabled,476006076,245367823,244774636,260190065,260190065
2024-05-25 16:30:46,149,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,disabled,595632391,137780503,135268497,165959423,165959423
2024-05-25 16:30:47,152,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,enabled,317892423,66415127,64431453,81328851,81328851
2024-05-25 16:30:50,155,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,disabled,928770556,486431006,486195200,515700223,515700223
2024-05-25 16:30:51,158,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,enabled,472617647,245207158,245000429,260174910,260174910
2024-05-25 16:30:52,161,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,disabled,595486601,133416364,133401723,164207381,164207381
2024-05-25 16:30:53,164,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,enabled,316864320,63631548,63816903,80513732,80513732
2024-05-25 16:30:56,167,VerletClusterLists,1.000000,vcl_sliced_c02,none,AoS,disabled,943951686,463932030,464289571,495933340,495933340
2024-05-25 16:30:57,170,VerletClusterLists,1.000000,vcl_sliced_c02,none,AoS,enabled,491691739,235124729,235262334,252229196,252229196
