Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed
2024-05-24 02:41:14,2,LinkedCells,1.000000,lc_c01,none,AoS,disabled,49173768,48865235,48682982,48732060,48732060
2024-05-24 02:41:23,5,LinkedCells,1.000000,lc_c01,none,SoA,disabled,43988331,27170989,23784869,25805215,25805215
2024-05-24 02:41:36,8,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,21076525,20789900,20767090,20798033,20798033
2024-05-24 02:41:48,11,LinkedCells,1.000000,lc_c04,none,AoS,disabled,38967384,38944125,38763675,38784045,38784045
2024-05-24 02:41:58,14,LinkedCells,1.000000,lc_c04,none,AoS,enabled,28847236,28724031,29587522,28736351,28736351
2024-05-24 02:42:10,17,LinkedCells,1.000000,lc_c04,none,SoA,disabled,29419869,25868974,25144976,25572465,25572465
2024-05-24 02:42:20,20,LinkedCells,1.000000,lc_c04,none,SoA,enabled,15288504,15741905,15289183,15289115,15289115
2024-05-24 02:42:31,23,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,39697793,39565711,39289428,39330264,39330264
2024-05-24 02:42:41,26,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,28826575,29142649,29024386,29004604,29004604
2024-05-24 02:42:52,29,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,29801290,26875332,26689289,27000489,27000489
2024-05-24 02:43:01,32,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,15740715,16047484,15483521,15509240,15509240
2024-05-24 02:43:09,35,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,29213957,29469957,28707200,28757875,28757875
2024-05-24 02:43:17,38,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,19944455,20811269,22034936,20724587,20724587
2024-05-24 02:43:25,41,LinkedCells,1.000000,lc_c08,none,AoS,disabled,39198068,40401191,40853667,40280878,40280878
2024-05-24 02:43:32,44,LinkedCells,1.000000,lc_c08,none,AoS,enabled,30323080,30384011,29710157,29771449,29771449
2024-05-24 02:43:41,47,LinkedCells,1.000000,lc_c08,none,SoA,disabled,32808380,27455360,28720259,27990662,27990662
2024-05-24 02:43:53,50,LinkedCells,1.000000,lc_c08,none,SoA,enabled,19587904,17644659,15796024,16175212,16175212
2024-05-24 02:44:04,53,LinkedCells,1.000000,lc_c18,none,AoS,disabled,37442587,37166368,37379352,37193989,37193989
2024-05-24 02:44:14,56,LinkedCells,1.000000,lc_c18,none,AoS,enabled,28080591,28508839,27489901,27548970,27548970
2024-05-24 02:44:23,59,LinkedCells,1.000000,lc_c18,none,SoA,disabled,28149337,27842866,26560124,26719045,26719045
2024-05-24 02:44:32,62,LinkedCells,1.000000,lc_c18,none,SoA,enabled,16360296,24116660,16169475,16188557,16188557
2024-05-24 02:44:41,65,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,38677230,39102707,38398965,38426791,38426791
2024-05-24 02:44:52,68,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,28804434,28737217,28945279,28743938,28743938
2024-05-24 02:45:03,71,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,26018520,26402271,26070632,26065420,26065420
2024-05-24 02:45:14,74,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,14665502,14563542,13782948,13871203,13871203
2024-05-24 02:45:21,77,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,39099853,40413005,40006092,39915468,39915468
2024-05-24 02:45:31,80,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,28351119,28556449,29057270,28535916,28535916
2024-05-24 02:45:41,83,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,26437738,25993906,26918865,26038289,26038289
2024-05-24 02:45:53,86,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,14453846,18319812,14219230,14242691,14242691
2024-05-24 02:46:09,89,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,38386970,38537262,38790138,38522232,38522232
2024-05-24 02:46:22,92,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,28495414,28380287,28362196,28375517,28375517
2024-05-24 02:46:31,95,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,33191932,25648829,25648890,26403139,26403139
2024-05-24 02:46:40,98,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,14158558,14978593,15208946,14896589,14896589
2024-05-24 02:46:51,101,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,38940759,39380565,39723939,39336584,39336584
2024-05-24 02:47:00,104,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,28748192,29374728,28779026,28775942,28775942
2024-05-24 02:47:07,107,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,35225711,25593414,25197856,26200641,26200641
2024-05-24 02:47:14,110,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,14145533,14251916,15705299,14241277,14241277
2024-05-24 02:47:22,113,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,107910789,38515598,43531608,45455117,45455117
2024-05-24 02:47:29,116,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,77520321,19084393,20238132,24927985,24927985
2024-05-24 02:47:35,119,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,95700840,39148534,38797432,44487772,44487772
2024-05-24 02:47:42,122,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,56061113,20049591,20259189,23650743,23650743
2024-05-24 02:47:52,125,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,78215850,18731570,18965399,24679998,24679998
2024-05-24 02:48:02,128,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,45951157,10632585,10393376,13949154,13949154
2024-05-24 02:48:12,131,VerletClusterLists,1.000000,vcl_sliced,none,AoS,disabled,101170206,42505634,42091670,47999523,47999523
2024-05-24 02:48:21,134,VerletClusterLists,1.000000,vcl_sliced,none,AoS,enabled,55355546,22207850,21775038,25133088,25133088
2024-05-24 02:48:31,137,VerletClusterLists,1.000000,vcl_sliced,none,SoA,disabled,77108813,17923807,18436102,23842307,23842307
2024-05-24 02:48:41,140,VerletClusterLists,1.000000,vcl_sliced,none,SoA,enabled,45527467,10497746,10211330,13742943,13742943
2024-05-24 02:48:51,143,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,disabled,101802030,40693037,40717688,46803936,46803936
2024-05-24 02:49:01,146,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,enabled,56142508,25495979,20913217,24436146,24436146
2024-05-24 02:49:10,149,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,disabled,77880966,17675964,17071106,23152092,23152092
