Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-05-24 02:19:13,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7162222,7049950,7095104,7057221,7128836,7109418,7114535,7094160,7127683,7187643,7112677,7112677
2024-05-24 02:19:14,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,5766815,5094782,5106458,5113274,5140719,5114313,5061038,5153884,5125838,5118222,5179533,5179533
2024-05-24 02:19:14,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,8239761,4933990,5970044,4883536,4951455,4860082,4993282,4877528,4933540,4852352,5349556,5349556
2024-05-24 02:19:14,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6742882,6858181,6728244,6823507,6820358,6886287,6746277,6813262,6762379,6714030,6789540,6789540
2024-05-24 02:19:14,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,5662217,5609550,5618614,5654076,5655933,5589684,5651639,5574297,5611991,5554285,5618228,5618228
2024-05-24 02:19:14,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,5441826,6739867,5321934,5290165,5287135,5344263,5376169,5350485,5360570,5340372,5485278,5485278
2024-05-24 02:19:14,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,4499275,4562277,4568625,4603183,4621548,4552120,4500838,4589116,4553026,4618405,4566840,4566840
2024-05-24 02:19:15,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6704299,6657409,6583901,6636971,6630936,6650764,6679290,6646369,6697548,6656350,6654383,6654383
2024-05-24 02:19:15,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,5580923,5548714,5538978,5493150,5435002,5551649,5442013,5442568,5496713,5525097,5505480,5505480
2024-05-24 02:19:15,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,5340706,5380665,5392457,5535044,5395010,6516214,5289889,5285804,5291410,5293886,5472107,5472107
2024-05-24 02:19:15,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,4521820,4563393,4519920,4525686,4543337,4513040,4579323,4493594,4546401,4463717,4527022,4527022
