Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed
2024-05-23 05:45:26,2,LinkedCells,1.000000,lc_c01,none,AoS,disabled,22911354,22563720,22594615,22598483,22598483
2024-05-23 05:45:26,5,LinkedCells,1.000000,lc_c01,none,SoA,disabled,45427324,20002617,20043341,22545087,22545087
2024-05-23 05:45:26,8,LinkedCells,1.000000,lc_c04,none,AoS,disabled,19218658,19085351,19135212,19098681,19098681
2024-05-23 05:45:27,11,LinkedCells,1.000000,lc_c04,none,AoS,enabled,13046072,12930214,13024604,12941799,12941799
2024-05-23 05:45:27,14,LinkedCells,1.000000,lc_c04,none,SoA,disabled,24266916,20142529,20231772,20554967,20554967
2024-05-23 05:45:27,17,LinkedCells,1.000000,lc_c04,none,SoA,enabled,14545339,14395579,14404294,14410555,14410555
2024-05-23 05:45:28,20,LinkedCells,1.000000,lc_c08,none,AoS,disabled,19409117,19410288,19503013,19410170,19410170
2024-05-23 05:45:31,23,LinkedCells,1.000000,lc_c08,none,AoS,enabled,13181546,12913260,12883964,12913722,12913722
2024-05-23 05:45:33,26,LinkedCells,1.000000,lc_c08,none,SoA,disabled,21644182,21806972,21417589,21440248,21440248
2024-05-23 05:45:36,29,LinkedCells,1.000000,lc_c08,none,SoA,enabled,15512317,15225187,15509061,15253900,15253900
2024-05-23 05:45:39,32,LinkedCells,1.000000,lc_c18,none,AoS,disabled,19401295,19250984,19546565,19266015,19266015
2024-05-23 05:45:42,35,LinkedCells,1.000000,lc_c18,none,AoS,enabled,13340686,13614591,13670001,13587200,13587200
2024-05-23 05:45:46,38,LinkedCells,1.000000,lc_c18,none,SoA,disabled,25891572,20638856,23128785,21164127,21164127
2024-05-23 05:45:51,41,LinkedCells,1.000000,lc_c18,none,SoA,enabled,15755026,15775667,15706851,15711668,15711668
2024-05-23 05:45:56,44,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,19027761,19168662,19410725,19154571,19154571
2024-05-23 05:46:04,47,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,12581808,12503735,13072097,12511542,12511542
