Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed
2024-05-22 16:45:34,2,LinkedCells,1.000000,lc_c01,none,AoS,disabled,13399789,13604484,13786013,13584014,13584014
2024-05-22 16:45:37,5,LinkedCells,1.000000,lc_c01,none,SoA,disabled,9367797,7750271,7702695,7869205,7869205
2024-05-22 16:45:39,8,LinkedCells,1.000000,lc_c04,none,AoS,disabled,12339845,12020497,12126222,12052431,12052431
2024-05-22 16:45:41,11,LinkedCells,1.000000,lc_c04,none,AoS,enabled,8989908,9361378,9049055,9043140,9043140
2024-05-22 16:45:43,14,LinkedCells,1.000000,lc_c04,none,SoA,disabled,8049214,7725164,7748500,7757569,7757569
2024-05-22 16:45:46,17,LinkedCells,1.000000,lc_c04,none,SoA,enabled,6129668,5944526,5811847,5843629,5843629
2024-05-22 16:45:48,20,LinkedCells,1.000000,lc_c08,none,AoS,disabled,12766707,12723903,13017780,12728183,12728183
2024-05-22 16:45:50,23,LinkedCells,1.000000,lc_c08,none,AoS,enabled,9904592,9824462,9971920,9832475,9832475
2024-05-22 16:45:52,26,LinkedCells,1.000000,lc_c08,none,SoA,disabled,8722114,8627227,8500861,8522986,8522986
2024-05-22 16:45:54,29,LinkedCells,1.000000,lc_c08,none,SoA,enabled,7012786,7152614,7543981,7138631,7138631
2024-05-22 16:45:57,32,LinkedCells,1.000000,lc_c18,none,AoS,disabled,13336462,13193223,13262815,13207546,13207546
2024-05-22 16:45:59,35,LinkedCells,1.000000,lc_c18,none,AoS,enabled,10883748,10388171,10434690,10437728,10437728
2024-05-22 16:46:01,38,LinkedCells,1.000000,lc_c18,none,SoA,disabled,10180501,10315495,10003689,10021370,10021370
2024-05-22 16:46:03,41,LinkedCells,1.000000,lc_c18,none,SoA,enabled,8307229,8433386,8643971,8420770,8420770
2024-05-22 16:46:05,44,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,12020946,12036251,12216513,12034720,12034720
2024-05-22 16:46:08,47,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,9231891,9154842,8920800,8951909,8951909
