Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed
2024-05-13 01:19:41,2,LinkedCells,1.000000,lc_c01,none,AoS,disabled,167018013,123551458,149882175,127898113,127898113
2024-05-13 01:19:41,5,LinkedCells,1.000000,lc_c01,none,SoA,disabled,94250580,76713313,117197416,78467039,78467039
2024-05-13 01:19:42,8,LinkedCells,1.000000,lc_c08,none,AoS,disabled,169568248,147691929,118594392,123691777,123691777
2024-05-13 01:19:42,11,LinkedCells,1.000000,lc_c08,none,AoS,enabled,70756514,77556604,79990002,76876595,76876595
2024-05-13 01:19:42,14,LinkedCells,1.000000,lc_c08,none,SoA,disabled,69394623,125088624,70699878,70569352,70569352
2024-05-13 01:19:43,17,LinkedCells,1.000000,lc_c08,none,SoA,enabled,47100954,35079984,38325868,36282081,36282081
2024-05-13 01:19:43,20,LinkedCells,1.000000,lc_c18,none,AoS,disabled,119978411,131669446,115171488,115652180,115652180
2024-05-13 01:19:43,23,LinkedCells,1.000000,lc_c18,none,AoS,enabled,73647925,72348432,84764238,72478381,72478381
2024-05-13 01:19:44,26,LinkedCells,1.000000,lc_c18,none,SoA,disabled,79767497,76253014,81062854,76604462,76604462
2024-05-13 01:19:44,29,LinkedCells,1.000000,lc_c18,none,SoA,enabled,45945149,46091732,43427772,43679509,43679509
2024-05-13 01:19:44,32,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,186984120,172373140,248224504,173834238,173834238
2024-05-13 01:19:45,35,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,115806621,125975325,128825353,124958454,124958454
2024-05-13 01:19:45,38,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,115217213,109341273,114340115,109928867,109928867
2024-05-13 01:19:46,41,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,65070508,65415320,67569077,65380838,65380838
2024-05-13 01:19:46,44,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,281404355,118607005,142228119,134886740,134886740
2024-05-13 01:19:47,47,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,227137708,61936654,68816233,78456759,78456759
2024-05-13 01:19:47,50,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,343833284,211453996,212281499,224691924,224691924
2024-05-13 01:19:48,53,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,200197824,120457787,120086244,128097402,128097402
2024-05-13 01:19:48,56,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,252590827,99715161,94073320,109925070,109925070
2024-05-13 01:19:49,59,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,142964291,69888783,42858482,52869062,52869062
2024-05-13 01:19:49,62,VerletClusterLists,1.000000,vcl_cluster_iteration,none,AoS,disabled,273243634,123122374,142259978,138134500,138134500
2024-05-13 01:19:50,65,VerletClusterLists,1.000000,vcl_cluster_iteration,none,SoA,disabled,224372379,59180373,51922196,69167214,69167214
2024-05-13 01:19:50,68,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,236953984,55743674,60370313,73864705,73864705
2024-05-13 01:19:51,71,VerletLists,1.000000,vl_list_iteration,none,SoA,disabled,418894631,33644116,45324218,72169167,72169167
2024-05-13 01:19:51,74,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,107111914,57156206,57056631,62062159,62062159
2024-05-13 01:19:52,77,VerletListsCells,1.000000,vlc_c01,none,SoA,disabled,691185477,34319997,36184414,100006545,100006545
