Configuration: {Container: VerletListsCells , CellSizeFactor: 1.000000 , Traversal: vlc_c18 , Load Estimator: none , Data Layout: AoS , Newton 3: enabled}
Configuration: {Container: VerletListsCells , CellSizeFactor: 1.000000 , Traversal: vlc_c01 , Load Estimator: none , Data Layout: AoS , Newton 3: disabled}
Configuration: {Container: VerletListsCells , CellSizeFactor: 1.000000 , Traversal: vlc_c18 , Load Estimator: none , Data Layout: AoS , Newton 3: disabled}
Configuration: {Container: VerletLists , CellSizeFactor: 1.000000 , Traversal: vl_list_iteration , Load Estimator: none , Data Layout: AoS , Newton 3: disabled}
Configuration: {Container: LinkedCells , CellSizeFactor: 1.000000 , Traversal: lc_c08 , Load Estimator: none , Data Layout: SoA , Newton 3: enabled}
Configuration: {Container: LinkedCells , CellSizeFactor: 1.000000 , Traversal: lc_c04 , Load Estimator: none , Data Layout: SoA , Newton 3: enabled}
Configuration: {Container: VerletListsCells , CellSizeFactor: 1.000000 , Traversal: vlc_sliced_c02 , Load Estimator: none , Data Layout: AoS , Newton 3: enabled}
Configuration: {Container: LinkedCells , CellSizeFactor: 1.000000 , Traversal: lc_c18 , Load Estimator: none , Data Layout: SoA , Newton 3: enabled}
Configuration: {Container: LinkedCells , CellSizeFactor: 1.000000 , Traversal: lc_sliced_c02 , Load Estimator: none , Data Layout: SoA , Newton 3: enabled}
Configuration: {Container: LinkedCells , CellSizeFactor: 1.000000 , Traversal: lc_sliced , Load Estimator: none , Data Layout: SoA , Newton 3: enabled}
Configuration: {Container: VerletClusterLists , CellSizeFactor: 1.000000 , Traversal: vcl_c06 , Load Estimator: none , Data Layout: SoA , Newton 3: enabled}
Configuration: {Container: LinkedCells , CellSizeFactor: 1.000000 , Traversal: lc_c18 , Load Estimator: none , Data Layout: AoS , Newton 3: enabled}
Configuration: {Container: VerletLists , CellSizeFactor: 1.000000 , Traversal: vl_list_iteration , Load Estimator: none , Data Layout: SoA , Newton 3: disabled}
Configuration: {Container: LinkedCells , CellSizeFactor: 1.000000 , Traversal: lc_sliced_balanced , Load Estimator: none , Data Layout: SoA , Newton 3: enabled}
Configuration: {Container: LinkedCells , CellSizeFactor: 1.000000 , Traversal: lc_c08 , Load Estimator: none , Data Layout: AoS , Newton 3: enabled}
Configuration: {Container: LinkedCells , CellSizeFactor: 1.000000 , Traversal: lc_sliced_balanced , Load Estimator: squared-particles-per-cell , Data Layout: SoA , Newton 3: enabled}
Configuration: {Container: LinkedCells , CellSizeFactor: 1.000000 , Traversal: lc_c04 , Load Estimator: none , Data Layout: AoS , Newton 3: enabled}
Configuration: {Container: VerletListsCells , CellSizeFactor: 1.000000 , Traversal: vlc_c18 , Load Estimator: none , Data Layout: SoA , Newton 3: enabled}
Configuration: {Container: LinkedCells , CellSizeFactor: 1.000000 , Traversal: lc_c08 , Load Estimator: none , Data Layout: SoA , Newton 3: disabled}
Configuration: {Container: LinkedCells , CellSizeFactor: 1.000000 , Traversal: lc_sliced_balanced , Load Estimator: squared-particles-per-cell , Data Layout: AoS , Newton 3: enabled}
Configuration: {Container: VerletClusterLists , CellSizeFactor: 1.000000 , Traversal: vcl_c06 , Load Estimator: none , Data Layout: AoS , Newton 3: enabled}
