Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-05-21 16:10:12,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,8182122,7907385,7949340,7781712,7950557,7981560,7908744,7937025,7855559,7908426,7936242,7936242
2024-05-21 16:10:12,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,6367638,5611529,5606423,5717910,5858484,5819566,5708139,5759110,5690169,5821639,5796060,5796060
2024-05-21 16:10:12,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,5688909,5538577,5483789,8435933,5931051,5478058,5530266,5514991,5628819,5672853,5890324,5890324
2024-05-21 16:10:12,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,7614608,7579165,7533518,7634647,7554561,7584491,7529214,7510630,7563079,7557916,7566182,7566182
2024-05-21 16:10:12,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,6452350,6355315,6441710,6035496,6334245,6073055,6195695,6394808,6082217,6442355,6280724,6280724
2024-05-21 16:10:12,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,6140272,5997938,6023473,6083722,6127081,6119692,5780086,6075649,5994299,6011388,6035359,6035359
2024-05-21 16:10:13,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,5270565,5305215,5220550,5289204,5248193,5151911,5347704,5237344,5226792,5264979,5256245,5256245
2024-05-21 16:10:13,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,7395361,7665786,7502758,7454926,7182785,7501538,7452172,7434138,7570601,7543303,7470336,7470336
2024-05-21 16:10:13,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,6327061,6135736,6044667,6057495,6036546,6002109,6245033,6219454,6329545,6502367,6190000,6190000
2024-05-21 16:10:13,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,6298596,6184586,6291337,6394518,6293010,6314327,6463689,6429085,6435382,6502755,6360728,6360728
2024-05-21 16:10:13,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,5387614,5251356,5445795,5556323,5531536,5557068,5496420,5381296,5318656,5437813,5436387,5436387
2024-05-21 16:10:13,119,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,7175135,7236185,7277693,6847068,7209183,7086677,7224285,7237982,7308906,7161949,7176505,7176505
2024-05-21 16:10:13,129,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,6311867,6077777,6035753,6401688,6481911,6526268,6432979,6455650,6669031,6324703,6371762,6371762
2024-05-21 16:10:13,139,LinkedCells,1.000000,lc_c08,none,AoS,disabled,7970025,8091824,8166658,8102043,8259375,8195508,8156297,8099727,8292461,8221446,8155535,8155535
2024-05-21 16:10:13,149,LinkedCells,1.000000,lc_c08,none,AoS,enabled,7334166,7228318,7202206,7119893,7218235,7136893,7076197,7218769,7366860,7340167,7224169,7224169
2024-05-21 16:10:13,159,LinkedCells,1.000000,lc_c08,none,SoA,disabled,7612504,7405170,7338875,7275895,7343442,7362304,7410533,7422407,7362783,7470046,7400395,7400395
2024-05-21 16:10:14,169,LinkedCells,1.000000,lc_c08,none,SoA,enabled,6410944,6340140,6429304,6513852,6277696,6192347,6457484,6485404,6178493,6145413,6343107,6343107
2024-05-21 16:10:14,179,LinkedCells,1.000000,lc_c18,none,AoS,disabled,9314212,9330041,9308261,9307281,9373590,9240684,9242094,9249454,9015994,9379146,9276075,9276075
2024-05-21 16:10:14,189,LinkedCells,1.000000,lc_c18,none,AoS,enabled,8168427,8449458,8586579,8213225,8247942,8098560,8561364,8596369,8454880,8464262,8384106,8384106
2024-05-21 16:10:14,199,LinkedCells,1.000000,lc_c18,none,SoA,disabled,9043466,8837616,9084587,9192878,9340965,9114812,8895081,8853840,9159008,9187821,9071006,9071006
2024-05-21 16:10:14,209,LinkedCells,1.000000,lc_c18,none,SoA,enabled,7997846,8043170,8317263,8271292,7963257,7823378,7795305,8216236,8357591,8422445,8120777,8120777
