Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed
2024-05-21 14:24:33,2,LinkedCells,1.000000,lc_c01,none,AoS,disabled,89069421,88192792,88384096,88280454,88280454
2024-05-21 14:24:33,5,LinkedCells,1.000000,lc_c01,none,SoA,disabled,25337686,23420238,23351004,23549672,23549672
2024-05-21 14:24:33,8,LinkedCells,1.000000,lc_c08,none,AoS,disabled,85589383,85767721,85865633,85749887,85749887
2024-05-21 14:24:34,11,LinkedCells,1.000000,lc_c08,none,AoS,enabled,53238929,53114457,53171443,53126904,53126904
2024-05-21 14:24:34,14,LinkedCells,1.000000,lc_c08,none,SoA,disabled,24852061,24735288,24754329,24746965,24746965
2024-05-21 14:24:34,17,LinkedCells,1.000000,lc_c08,none,SoA,enabled,16396140,16182937,16324027,16204257,16204257
2024-05-21 14:24:34,20,LinkedCells,1.000000,lc_c18,none,AoS,disabled,79565900,79720433,79705081,79691162,79691162
2024-05-21 14:24:34,23,LinkedCells,1.000000,lc_c18,none,AoS,enabled,50793718,50510865,50538758,50539150,50539150
2024-05-21 14:24:34,26,LinkedCells,1.000000,lc_c18,none,SoA,disabled,26042398,25947645,25760551,25788735,25788735
2024-05-21 14:24:34,29,LinkedCells,1.000000,lc_c18,none,SoA,enabled,17500323,17760180,17758770,17732925,17732925
2024-05-21 14:24:35,32,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,87791315,85994975,86991176,86174609,86174609
2024-05-21 14:24:35,35,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,54239676,53037733,55135583,53157927,53157927
2024-05-21 14:24:35,38,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,23931026,23689740,23693719,23713868,23713868
2024-05-21 14:24:35,41,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,15425004,15257236,15324363,15274012,15274012
2024-05-21 14:24:35,44,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,149947363,107095528,107455725,111380711,111380711
2024-05-21 14:24:36,47,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,80701635,46529997,46570719,49947160,49947160
2024-05-21 14:24:36,50,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,140247571,108081964,108077867,111294837,111294837
2024-05-21 14:24:36,53,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,73581261,55999996,56013889,57758122,57758122
2024-05-21 14:24:36,56,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,78560609,45362685,45369552,48682477,48682477
2024-05-21 14:24:36,59,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,40800877,23732316,23558178,25282447,25282447
2024-05-21 14:24:37,62,VerletClusterLists,1.000000,vcl_cluster_iteration,none,AoS,disabled,136673952,104103454,104054570,107316508,107316508
2024-05-21 14:24:37,65,VerletClusterLists,1.000000,vcl_cluster_iteration,none,SoA,disabled,77275905,44375026,44544254,47665113,47665113
2024-05-21 14:24:37,68,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,200129063,54993489,54970587,69486434,69486434
2024-05-21 14:24:38,71,VerletLists,1.000000,vl_list_iteration,none,SoA,disabled,208589762,28690242,28740665,46680194,46680194
2024-05-21 14:24:38,74,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,115643462,49483986,49500578,56099933,56099933
2024-05-21 14:24:38,77,VerletListsCells,1.000000,vlc_c01,none,SoA,disabled,203685075,28610965,28653967,46118376,46118376
2024-05-21 14:24:38,80,VerletListsCells,1.000000,vlc_c18,none,AoS,disabled,116803284,52964712,52785712,59187469,59187469
2024-05-21 14:24:38,83,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,65206188,29828765,29814847,33353981,33353981
2024-05-21 14:24:39,86,VerletListsCells,1.000000,vlc_c18,none,SoA,disabled,198657597,31091927,30967473,47736485,47736485
2024-05-21 14:24:39,89,VerletListsCells,1.000000,vlc_c18,none,SoA,enabled,141237039,23102845,22920683,34752318,34752318
2024-05-21 14:24:39,92,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,disabled,119739430,52967029,54482297,59644269,59644269
2024-05-21 14:24:39,95,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,enabled,66044242,29718271,29753180,33350868,33350868
2024-05-21 14:24:40,98,VerletListsCells,1.000000,vlc_sliced_c02,none,SoA,disabled,204709573,33553177,33556646,50668816,50668816
2024-05-21 14:24:40,101,VerletListsCells,1.000000,vlc_sliced_c02,none,SoA,enabled,122160381,22438083,22437823,32410078,32410078
2024-05-21 14:24:51,604,LinkedCells,1.000000,lc_c01,none,AoS,disabled,95548338,95265809,95381453,95294061,95294061
2024-05-21 14:24:51,607,LinkedCells,1.000000,lc_c01,none,SoA,disabled,26039165,25861861,25691148,25725949,25725949
2024-05-21 14:24:51,610,LinkedCells,1.000000,lc_c08,none,AoS,disabled,93982835,93681834,94155246,93711934,93711934
2024-05-21 14:24:51,613,LinkedCells,1.000000,lc_c08,none,AoS,enabled,58188821,58273819,58106217,58114477,58114477
2024-05-21 14:24:52,616,LinkedCells,1.000000,lc_c08,none,SoA,disabled,26910504,26772263,26795015,26786087,26786087
2024-05-21 14:24:52,619,LinkedCells,1.000000,lc_c08,none,SoA,enabled,17404390,17571434,17337290,17344000,17344000
