Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed
2024-05-21 17:07:59,2,LinkedCells,1.000000,lc_c01,none,AoS,disabled,49133947,49087660,49196925,49092288,49092288
2024-05-21 17:08:00,5,LinkedCells,1.000000,lc_c01,none,SoA,disabled,43966942,24061925,24087164,26052426,26052426
2024-05-21 17:08:00,8,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,21513926,22174907,21782278,21755442,21755442
2024-05-21 17:08:00,11,LinkedCells,1.000000,lc_c04,none,AoS,disabled,39212571,38967284,39116417,38991812,38991812
2024-05-21 17:08:00,14,LinkedCells,1.000000,lc_c04,none,AoS,enabled,29641680,29544256,29409759,29432951,29432951
2024-05-21 17:08:00,17,LinkedCells,1.000000,lc_c04,none,SoA,disabled,26261429,26090904,26778437,26107956,26107956
2024-05-21 17:08:00,20,LinkedCells,1.000000,lc_c04,none,SoA,enabled,16045788,15725866,16033409,15757858,15757858
2024-05-21 17:08:00,23,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,39411221,39527390,39830461,39515773,39515773
2024-05-21 17:08:01,26,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,30152491,30069748,30039521,30050818,30050818
2024-05-21 17:08:01,29,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,28124242,30783715,27593167,27646274,27646274
2024-05-21 17:08:01,32,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,17531669,16946765,16857353,16924784,16924784
2024-05-21 17:08:01,35,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,31156739,30663910,29959484,30079209,30079209
2024-05-21 17:08:01,38,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,21848750,21343452,22078502,21393981,21393981
2024-05-21 17:08:01,41,LinkedCells,1.000000,lc_c08,none,AoS,disabled,41688965,41271027,41540886,41312820,41312820
2024-05-21 17:08:01,44,LinkedCells,1.000000,lc_c08,none,AoS,enabled,32658881,33222251,32816064,32800345,32800345
2024-05-21 17:08:01,47,LinkedCells,1.000000,lc_c08,none,SoA,disabled,30687335,29547957,29921132,29661894,29661894
2024-05-21 17:08:02,50,LinkedCells,1.000000,lc_c08,none,SoA,enabled,17954195,18068031,17764213,17783211,17783211
2024-05-21 17:08:02,53,LinkedCells,1.000000,lc_c18,none,AoS,disabled,39270045,39069180,39597266,39089266,39089266
2024-05-21 17:08:02,56,LinkedCells,1.000000,lc_c18,none,AoS,enabled,30291559,30250112,29985242,30015873,30015873
2024-05-21 17:08:02,59,LinkedCells,1.000000,lc_c18,none,SoA,disabled,31092612,30163663,32203306,30256557,30256557
2024-05-21 17:08:02,62,LinkedCells,1.000000,lc_c18,none,SoA,enabled,17827519,18251683,18809082,18209266,18209266
2024-05-21 17:08:02,65,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,41441040,40858401,41571264,40916664,40916664
2024-05-21 17:08:02,68,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,31819717,31587686,31461059,31496924,31496924
2024-05-21 17:08:03,71,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,28183372,27801635,27776463,27817153,27817153
2024-05-21 17:08:03,74,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,16489033,16183419,15690482,15770337,15770337
2024-05-21 17:08:03,77,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,41485712,41433105,41247458,41271283,41271283
2024-05-21 17:08:03,80,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,32149703,31427970,31619517,31500143,31500143
2024-05-21 17:08:03,83,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,29038188,28319514,27716991,27849110,27849110
2024-05-21 17:08:03,86,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,15948230,15965703,15743036,15763555,15763555
2024-05-21 17:08:03,89,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,41475188,41273013,41380060,41293230,41293230
2024-05-21 17:08:04,92,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,31392921,31589117,31968105,31569497,31569497
2024-05-21 17:08:04,95,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,34293765,27739553,28445633,28394974,28394974
2024-05-21 17:08:04,98,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,16216961,15741128,15603780,15665098,15665098
2024-05-21 17:08:04,101,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,41541702,42607007,42484718,42390416,42390416
2024-05-21 17:08:04,104,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,32014661,32577373,32057281,32053019,32053019
2024-05-21 17:08:04,107,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,34435709,34983002,28694796,29268887,29268887
2024-05-21 17:08:04,110,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,17181428,16570251,16453258,16526075,16526075
2024-05-21 17:08:05,113,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,127230660,164010748,160430565,157110574,157110574
2024-05-21 17:08:05,116,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,91737599,134743034,134563794,130281174,130281174
2024-05-21 17:08:06,119,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,119219348,162901200,162375601,158059975,158059975
2024-05-21 17:08:06,122,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,67956364,137397721,136487483,129634371,129634371
2024-05-21 17:08:07,125,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,89791430,136705528,135194878,130654533,130654533
2024-05-21 17:08:07,128,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,52785144,121365816,122284912,114507748,114507748
2024-05-21 17:08:08,131,VerletClusterLists,1.000000,vcl_sliced,none,AoS,disabled,126602598,166335669,166727237,162362361,162362361
2024-05-21 17:08:08,134,VerletClusterLists,1.000000,vcl_sliced,none,AoS,enabled,70505501,141038281,139532107,132629446,132629446
2024-05-21 17:08:08,137,VerletClusterLists,1.000000,vcl_sliced,none,SoA,disabled,88728609,135278561,133490547,129014353,129014353
2024-05-21 17:08:09,140,VerletClusterLists,1.000000,vcl_sliced,none,SoA,enabled,51993272,122724222,122663328,115596322,115596322
2024-05-21 17:08:09,143,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,disabled,123718979,174499250,167660328,163266193,163266193
2024-05-21 17:08:10,146,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,enabled,72817697,139359765,140478840,132705558,132705558
2024-05-21 17:08:10,149,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,disabled,90739594,135142736,136183454,130702421,130702421
2024-05-21 17:08:10,152,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,enabled,52518246,123038337,122234951,115263280,115263280
2024-05-21 17:08:11,155,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,disabled,133651989,167639975,168465047,164241176,164241176
2024-05-21 17:08:11,158,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,enabled,71215995,137394711,137943193,130776839,130776839
2024-05-21 17:08:12,161,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,disabled,90227215,135120578,135962642,130631241,130631241
2024-05-21 17:08:12,164,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,enabled,51662231,125067317,130372279,117726808,117726808
2024-05-21 17:08:13,167,VerletClusterLists,1.000000,vcl_sliced_c02,none,AoS,disabled,133908041,168961945,172221094,165456554,165456554
2024-05-21 17:08:13,170,VerletClusterLists,1.000000,vcl_sliced_c02,none,AoS,enabled,71214333,139030300,140363657,132248703,132248703
2024-05-21 17:08:14,173,VerletClusterLists,1.000000,vcl_sliced_c02,none,SoA,disabled,91923389,139646940,136958661,132455133,132455133
2024-05-21 17:08:14,176,VerletClusterLists,1.000000,vcl_sliced_c02,none,SoA,enabled,54255195,125632485,125516640,118390495,118390495
2024-05-21 17:08:14,179,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,125901958,24780865,24866094,34892974,34892974
2024-05-21 17:08:15,182,VerletLists,1.000000,vl_list_iteration,none,SoA,disabled,164767267,13304554,13492275,28450825,28450825
2024-05-21 17:08:15,185,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,85674792,15279418,15173126,22223292,22223292
2024-05-21 17:08:15,188,VerletListsCells,1.000000,vlc_c01,none,SoA,disabled,191682125,13063747,13477628,30925584,30925584
2024-05-21 17:08:15,191,VerletListsCells,1.000000,vlc_c18,none,AoS,disabled,89549883,18513137,18527078,25616811,25616811
2024-05-21 17:08:15,194,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,53692552,11473258,11551451,15695187,15695187
2024-05-21 17:08:16,197,VerletListsCells,1.000000,vlc_c18,none,SoA,disabled,236120378,14708660,14489144,36652267,36652267
2024-05-21 17:08:16,200,VerletListsCells,1.000000,vlc_c18,none,SoA,enabled,166245545,12300916,12503692,27695378,27695378
2024-05-21 17:08:16,203,VerletListsCells,1.000000,vlc_sliced,none,AoS,disabled,89450634,18752655,18823561,25822452,25822452
2024-05-21 17:08:16,206,VerletListsCells,1.000000,vlc_sliced,none,AoS,enabled,51902878,11155927,11190148,15230622,15230622
2024-05-21 17:08:16,209,VerletListsCells,1.000000,vlc_sliced,none,SoA,disabled,234591453,15124815,15326414,37071478,37071478
2024-05-21 17:08:17,212,VerletListsCells,1.000000,vlc_sliced,none,SoA,enabled,170367565,13029074,11857148,27708189,27708189
2024-05-21 17:08:17,215,VerletListsCells,1.000000,vlc_sliced_balanced,none,AoS,disabled,90455200,20151216,17930094,25182604,25182604
2024-05-21 17:08:17,218,VerletListsCells,1.000000,vlc_sliced_balanced,none,AoS,enabled,54087663,11247926,11247326,15531359,15531359
2024-05-21 17:08:17,221,VerletListsCells,1.000000,vlc_sliced_balanced,none,SoA,disabled,238144723,14710442,14961032,37053870,37053870
2024-05-21 17:08:18,224,VerletListsCells,1.000000,vlc_sliced_balanced,none,SoA,enabled,172874676,12078730,12135354,28158324,28158324
2024-05-21 17:08:18,227,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,AoS,disabled,84062843,16487459,16731662,23244997,23244997
2024-05-21 17:08:18,230,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,AoS,enabled,42954552,11120988,11656888,14304344,14304344
2024-05-21 17:08:18,233,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,SoA,disabled,173359917,14820156,15040305,30674132,30674132
2024-05-21 17:08:18,236,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,SoA,enabled,132201909,12657359,12567887,24531289,24531289
2024-05-21 17:08:19,239,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,AoS,disabled,85860580,18671861,16623783,23547462,23547462
2024-05-21 17:08:19,242,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,AoS,enabled,45395670,11226042,11168214,14590959,14590959
2024-05-21 17:08:19,245,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,SoA,disabled,172420529,14676446,14505062,30296608,30296608
2024-05-21 17:08:19,248,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,SoA,enabled,129769247,12565840,12528057,24252176,24252176
2024-05-21 17:08:19,251,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,disabled,83121741,17028648,16835110,23463773,23463773
2024-05-21 17:08:19,254,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,enabled,45766564,11224106,11059517,14530221,14530221
2024-05-21 17:08:20,257,VerletListsCells,1.000000,vlc_sliced_c02,none,SoA,disabled,193784471,14801060,14784370,32684380,32684380
2024-05-21 17:08:20,260,VerletListsCells,1.000000,vlc_sliced_c02,none,SoA,enabled,138952081,12327221,12542903,24989707,24989707
2024-05-21 17:08:20,263,PairwiseVerletLists,1.000000,vlp_c01,none,AoS,disabled,173880420,23993555,24463961,38982241,38982241
2024-05-21 17:08:21,266,PairwiseVerletLists,1.000000,vlp_c01,none,SoA,disabled,602228188,35404947,35497589,92087271,92087271
2024-05-21 17:08:21,269,PairwiseVerletLists,1.000000,vlp_c18,none,AoS,disabled,251571938,34361081,35454625,56082166,56082166
2024-05-21 17:08:22,272,PairwiseVerletLists,1.000000,vlp_c18,none,AoS,enabled,168522407,18989460,18501742,33503808,33503808
2024-05-21 17:08:23,275,PairwiseVerletLists,1.000000,vlp_c18,none,SoA,disabled,1021614625,44641464,44821048,142338780,142338780
2024-05-21 17:08:23,278,PairwiseVerletLists,1.000000,vlp_c18,none,SoA,enabled,601176048,27592694,27734388,84951029,84951029
2024-05-21 17:08:24,281,PairwiseVerletLists,1.000000,vlp_sliced,none,AoS,disabled,277154255,41832676,44161589,65364833,65364833
2024-05-21 17:08:24,284,PairwiseVerletLists,1.000000,vlp_sliced,none,AoS,enabled,232741980,22856338,23991300,43844902,43844902
2024-05-21 17:08:25,287,PairwiseVerletLists,1.000000,vlp_sliced,none,SoA,disabled,1061784944,45613559,46291897,147230697,147230697
2024-05-21 17:08:26,290,PairwiseVerletLists,1.000000,vlp_sliced,none,SoA,enabled,663959335,27511869,26819616,90533587,90533587
2024-05-21 17:08:27,293,PairwiseVerletLists,1.000000,vlp_sliced_balanced,none,AoS,disabled,295482235,42612913,43886897,67899845,67899845
2024-05-21 17:08:27,296,PairwiseVerletLists,1.000000,vlp_sliced_balanced,none,AoS,enabled,218530283,23980035,23704443,43187027,43187027
