Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed
2024-05-22 16:45:21,2,LinkedCells,1.000000,lc_c01,none,AoS,disabled,14011153,14133116,13944502,13951167,13951167
2024-05-22 16:45:25,5,LinkedCells,1.000000,lc_c01,none,SoA,disabled,9626305,8709075,8754019,8800798,8800798
2024-05-22 16:45:30,8,LinkedCells,1.000000,lc_c04,none,AoS,disabled,12548029,13091457,13087243,13033321,13033321
2024-05-22 16:45:35,11,LinkedCells,1.000000,lc_c04,none,AoS,enabled,10159676,10319689,9837410,9869636,9869636
2024-05-22 16:45:40,14,LinkedCells,1.000000,lc_c04,none,SoA,disabled,8302714,8892914,8378176,8370629,8370629
2024-05-22 16:45:45,17,LinkedCells,1.000000,lc_c04,none,SoA,enabled,6788933,6919441,7022575,6906390,6906390
2024-05-22 16:45:53,20,LinkedCells,1.000000,lc_c08,none,AoS,disabled,13597946,14166522,13631682,13628308,13628308
2024-05-22 16:45:57,23,LinkedCells,1.000000,lc_c08,none,AoS,enabled,10750359,10770327,10955366,10768330,10768330
2024-05-22 16:46:04,26,LinkedCells,1.000000,lc_c08,none,SoA,disabled,9510136,9690564,10479249,9672521,9672521
2024-05-22 16:46:08,29,LinkedCells,1.000000,lc_c08,none,SoA,enabled,7914819,8052512,8044353,8031399,8031399
2024-05-22 16:46:12,32,LinkedCells,1.000000,lc_c18,none,AoS,disabled,14044501,14149016,14128430,14120037,14120037
2024-05-22 16:46:16,35,LinkedCells,1.000000,lc_c18,none,AoS,enabled,11741482,12149670,11890145,11875278,11875278
2024-05-22 16:46:19,38,LinkedCells,1.000000,lc_c18,none,SoA,disabled,11545970,11243219,11400772,11273494,11273494
2024-05-22 16:46:23,41,LinkedCells,1.000000,lc_c18,none,SoA,enabled,9827569,9972491,9494293,9527620,9527620
2024-05-22 16:46:27,44,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,12902337,12855991,12820071,12828297,12828297
2024-05-22 16:46:30,47,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,10117006,9793817,9472644,9537080,9537080
2024-05-22 16:46:34,50,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,8153060,7985951,8489131,8002661,8002661
2024-05-22 16:46:40,53,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,6323270,6500242,6468009,6453535,6453535
2024-05-22 16:46:44,56,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,15594762,15187155,15435949,15227915,15227915
2024-05-22 16:46:48,59,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,11631259,11968239,10488387,10602674,10602674
2024-05-22 16:46:51,62,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,8873700,8328189,8642354,8382740,8382740
2024-05-22 16:46:55,65,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,6850824,6794452,6546344,6576792,6576792
2024-05-22 16:46:59,68,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,14567016,14776270,15675394,14755344,14755344
2024-05-22 16:47:04,71,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,10857217,11570935,11843376,11499563,11499563
2024-05-22 16:47:08,74,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,9209697,8641590,8556851,8622135,8622135
2024-05-22 16:47:11,77,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,6972361,6762100,6490099,6538325,6538325
2024-05-22 16:47:14,80,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,12517489,12725273,12735034,12704494,12704494
2024-05-22 16:47:18,83,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,9915703,9915089,9638209,9665958,9665958
2024-05-22 16:47:21,86,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,8928639,8398474,7989268,8083205,8083205
2024-05-22 16:47:24,89,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,6283491,6642844,6466528,6448224,6448224
2024-05-22 16:47:27,92,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,23949742,16210141,16300322,16984101,16984101
2024-05-22 16:47:30,95,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,14972074,9473430,9246556,9819107,9819107
2024-05-22 16:47:33,98,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,22374377,17052368,17016076,17551906,17551906
2024-05-22 16:47:37,101,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,14007438,10947630,10738081,11065016,11065016
2024-05-22 16:47:39,104,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,15666854,10083463,10169809,10641802,10641802
2024-05-22 16:47:43,107,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,10264728,6901932,6941916,7238211,7238211
2024-05-22 16:47:46,110,VerletClusterLists,1.000000,vcl_cluster_iteration,none,AoS,disabled,22091437,16062514,16127110,16665406,16665406
2024-05-22 16:47:49,113,VerletClusterLists,1.000000,vcl_cluster_iteration,none,SoA,disabled,14335142,9111235,9073386,9599561,9599561
2024-05-22 16:47:51,116,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,27764751,7993259,7703433,9709564,9709564
