Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-05-21 16:09:51,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6059533,5905601,6000554,5979061,5989579,6121066,6009034,5999279,6045432,6037896,6014703,6014703
2024-05-21 16:09:51,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3312261,2817786,2823640,2798428,2804452,2805547,2801669,2814819,2803326,2807391,2858931,2858931
2024-05-21 16:09:51,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2598899,2438667,2427307,2411783,2420206,2409660,2425337,2415004,2427750,2414335,2438894,2438894
2024-05-21 16:09:51,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5408824,5382680,5330491,5365514,5364320,5392596,5371194,5388225,5369861,5384087,5375778,5375778
2024-05-21 16:09:51,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,3893260,3802523,3776531,3854143,3780411,3865841,3773628,3865272,3862314,3864940,3833886,3833886
2024-05-21 16:09:51,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3167526,3109063,3067314,3067093,3070620,3080494,3065706,3064106,3064691,3066714,3082332,3082332
2024-05-21 16:09:51,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2163948,2143868,2137244,2141787,2151173,2144943,2143629,2143732,2147310,2148976,2146660,2146660
2024-05-21 16:09:51,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,5359610,5433121,5334159,5492590,5469491,5505444,5505426,5505079,5465617,5461549,5453208,5453208
2024-05-21 16:09:51,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3833855,3831763,3817879,3822682,3827002,3838913,3815552,3835971,3816598,3917316,3835753,3835753
2024-05-21 16:09:51,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3544076,3275664,3301220,3342607,3343843,3343980,3392195,3400765,3423632,3407060,3377504,3377504
2024-05-21 16:09:52,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2360687,2274283,2293578,2347582,2358000,2346627,2347577,2356089,2368441,2362966,2341582,2341582
2024-05-21 16:09:52,119,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,3706361,3599668,3612902,3603993,3608300,3619292,3618774,3672072,3659311,3652265,3635293,3635293
2024-05-21 16:09:52,129,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2654569,2583947,2561493,2647058,2659404,2691185,2713698,2710598,2748350,2734645,2670494,2670494
2024-05-21 16:09:52,139,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5061329,5130778,5121279,5018507,5160601,5095687,5204101,5183112,5183701,5163034,5132212,5132212
2024-05-21 16:09:52,149,LinkedCells,1.000000,lc_c08,none,AoS,enabled,3688350,3687919,3692987,3703377,3701665,3725698,3728471,3732994,3724052,3729246,3711475,3711475
2024-05-21 16:09:52,159,LinkedCells,1.000000,lc_c08,none,SoA,disabled,3517855,3280601,3280398,3273222,3281065,3274108,3271474,3275347,3279496,3270320,3300388,3300388
2024-05-21 16:09:52,169,LinkedCells,1.000000,lc_c08,none,SoA,enabled,2421972,2291880,2302111,2291611,2296818,2313614,2311287,3286288,2364237,2324203,2420401,2420401
2024-05-21 16:09:52,179,LinkedCells,1.000000,lc_c18,none,AoS,disabled,4509806,4568834,4508851,4499835,4491412,4515818,4530237,4539245,4568217,4561477,4529372,4529372
2024-05-21 16:09:52,189,LinkedCells,1.000000,lc_c18,none,AoS,enabled,3288462,3295477,3328362,3325801,3321608,3328037,3341632,3369584,3393447,3391718,3338412,3338412
2024-05-21 16:09:52,199,LinkedCells,1.000000,lc_c18,none,SoA,disabled,3742545,3463979,3469433,3489604,3501998,3519741,3528103,3523531,3534229,3516005,3528916,3528916
2024-05-21 16:09:52,209,LinkedCells,1.000000,lc_c18,none,SoA,enabled,2539682,2472927,2464298,2554059,2468474,2505910,2508717,2522022,2521018,2509814,2506691,2506691
2024-05-21 16:09:52,219,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,4570640,4499813,4491185,4465941,4498143,4465762,4486555,4467410,4488884,4469173,4490350,4490350
2024-05-21 16:09:52,229,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,3218685,3216692,3234911,3217617,3223421,3215857,3220430,3218357,3214647,3230555,3221116,3221116
2024-05-21 16:09:52,239,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,2977421,2861965,2865858,2869480,2887615,2876442,2884771,2882566,2882394,2879480,2886799,2886799
2024-05-21 16:09:52,249,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1926332,1836162,1846990,1832547,1843816,1844331,1866633,1856296,1866567,1887749,1860741,1860741
2024-05-21 16:09:52,259,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,4373794,4254746,4336466,4373393,4338073,4366023,4364195,4411465,4289523,4355649,4346332,4346332
2024-05-21 16:09:52,269,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,3108241,3111407,3111359,3105379,3112465,3132796,3113223,3116039,3121804,3108792,3114150,3114150
