Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed
2024-05-21 04:24:56,2,LinkedCells,1.000000,lc_c01,none,AoS,disabled,88214935,90208046,89992479,89814724,89814724
2024-05-21 04:24:56,5,LinkedCells,1.000000,lc_c01,none,SoA,disabled,26897176,24602477,24727347,24831946,24831946
2024-05-21 04:24:57,8,LinkedCells,1.000000,lc_c08,none,AoS,disabled,87810857,87610110,98309593,87630184,87630184
2024-05-21 04:24:57,11,LinkedCells,1.000000,lc_c08,none,AoS,enabled,65859121,66746358,66648902,66569923,66569923
2024-05-21 04:24:57,14,LinkedCells,1.000000,lc_c08,none,SoA,disabled,41834064,43210328,43118832,42990355,42990355
2024-05-21 04:24:57,17,LinkedCells,1.000000,lc_c08,none,SoA,enabled,22603524,17857146,18598365,18331783,18331783
2024-05-21 04:24:58,20,LinkedCells,1.000000,lc_c18,none,AoS,disabled,84316251,84139745,84263728,84157395,84157395
2024-05-21 04:24:58,23,LinkedCells,1.000000,lc_c18,none,AoS,enabled,55548504,55141841,54846490,54916691,54916691
2024-05-21 04:24:58,26,LinkedCells,1.000000,lc_c18,none,SoA,disabled,27889261,28911880,28777862,28689001,28689001
2024-05-21 04:24:58,29,LinkedCells,1.000000,lc_c18,none,SoA,enabled,20236800,20695916,20432689,20413100,20413100
2024-05-21 04:24:58,32,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,88201205,88837255,89880133,88773650,88773650
2024-05-21 04:24:58,35,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,55465358,57609619,54618853,54703503,54703503
2024-05-21 04:24:58,38,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,25522690,25596938,25197600,25230109,25230109
2024-05-21 04:24:59,41,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,16645405,16561725,16526908,16538757,16538757
2024-05-21 04:24:59,44,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,160052334,111122104,113862127,116015127,116015127
2024-05-21 04:24:59,47,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,94649042,56490291,55573462,59481020,59481020
2024-05-21 04:25:00,50,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,153489729,109537498,111858075,113932721,113932721
2024-05-21 04:25:00,53,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,78176417,57931669,57951355,59956143,59956143
2024-05-21 04:25:00,56,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,85424610,47943563,47885843,51639719,51639719
2024-05-21 04:25:00,59,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,43964582,25771544,25622773,27456953,27456953
