Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed
2024-05-21 17:30:30,2,LinkedCells,1.000000,lc_c01,none,AoS,disabled,111515040,111860351,111781492,111763728,111763728
2024-05-21 17:30:30,5,LinkedCells,1.000000,lc_c01,none,SoA,disabled,40140503,34412547,34406655,34788911,34788911
2024-05-21 17:30:31,8,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,43806925,30822174,30886832,31687824,31687824
2024-05-21 17:30:31,11,LinkedCells,1.000000,lc_c04,none,AoS,disabled,130148011,129390720,130732562,129441206,129441206
2024-05-21 17:30:31,14,LinkedCells,1.000000,lc_c04,none,AoS,enabled,82215182,81559925,81340522,81398832,81398832
2024-05-21 17:30:31,17,LinkedCells,1.000000,lc_c04,none,SoA,disabled,40821158,40252023,40243428,40281943,40281943
2024-05-21 17:30:32,20,LinkedCells,1.000000,lc_c04,none,SoA,enabled,23775060,23789315,23320428,23350736,23350736
2024-05-21 17:30:32,23,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,128889446,129192476,129699615,129172274,129172274
2024-05-21 17:30:32,26,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,81152127,81461331,81441775,81422465,81422465
2024-05-21 17:30:33,29,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,40433115,40597080,40310672,40318834,40318834
2024-05-21 17:30:33,32,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,23740422,24042249,23695363,23698366,23698366
2024-05-21 17:30:33,35,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,46319715,46114103,45866365,45896588,45896588
2024-05-21 17:30:33,38,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,28353289,28152634,28308321,28166011,28166011
2024-05-21 17:30:33,41,LinkedCells,1.000000,lc_c08,none,AoS,disabled,130171411,129872496,129934023,129892423,129892423
2024-05-21 17:30:34,44,LinkedCells,1.000000,lc_c08,none,AoS,enabled,82544843,82373089,82625275,82384539,82384539
2024-05-21 17:30:34,47,LinkedCells,1.000000,lc_c08,none,SoA,disabled,42332592,42310359,42052731,42071388,42071388
2024-05-21 17:30:34,50,LinkedCells,1.000000,lc_c08,none,SoA,enabled,24806226,25055766,24990085,24977827,24977827
2024-05-21 17:30:34,53,LinkedCells,1.000000,lc_c18,none,AoS,disabled,105103906,104856958,104470099,104512352,104512352
2024-05-21 17:30:35,56,LinkedCells,1.000000,lc_c18,none,AoS,enabled,67723652,67743339,67994771,67742026,67742026
2024-05-21 17:30:35,59,LinkedCells,1.000000,lc_c18,none,SoA,disabled,42447857,42276374,44739820,42287806,42287806
2024-05-21 17:30:35,62,LinkedCells,1.000000,lc_c18,none,SoA,enabled,26197909,25814258,25924377,25839834,25839834
2024-05-21 17:30:35,65,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,128383934,128490140,129694549,128483059,128483059
2024-05-21 17:30:36,68,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,80299725,81622878,81768584,81534667,81534667
2024-05-21 17:30:36,71,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,40387000,39576511,39545847,39601923,39601923
2024-05-21 17:30:36,74,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,23519314,23591618,22991072,23026288,23026288
2024-05-21 17:30:36,77,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,133481341,134307939,130719277,130903414,130903414
2024-05-21 17:30:37,80,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,85383619,83985553,81843475,82079484,82079484
2024-05-21 17:30:37,83,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,40658897,40609316,40700407,40612621,40612621
2024-05-21 17:30:37,86,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,23565965,23396048,23151300,23178944,23178944
2024-05-21 17:30:38,89,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,128308587,128346469,133629311,128343943,128343943
2024-05-21 17:30:38,92,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,81069020,81825142,83379727,81774733,81774733
2024-05-21 17:30:38,95,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,43048756,41430324,39787438,40004859,40004859
2024-05-21 17:30:38,98,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,23757410,23266552,23317783,23299275,23299275
2024-05-21 17:30:39,101,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,130575279,130488825,130792530,130494588,130494588
2024-05-21 17:30:39,104,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,82103819,81780737,80835815,80920348,80920348
2024-05-21 17:30:39,107,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,42059226,40467690,40274324,40393317,40393317
2024-05-21 17:30:39,110,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,24319975,23398843,23942930,23460251,23460251
2024-05-21 17:30:41,113,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,284662682,431093242,429350419,419704569,419704569
2024-05-21 17:30:42,116,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,185814078,359640310,360311942,348051894,348051894
2024-05-21 17:30:43,119,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,272031689,430970688,432554714,420374754,420374754
2024-05-21 17:30:45,122,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,176447388,363590781,363244251,350791126,350791126
2024-05-21 17:30:46,125,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,177256459,358271344,356575730,344621111,344621111
2024-05-21 17:30:47,128,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,111100867,323137954,321690722,307651398,307651398
2024-05-21 17:30:49,131,VerletClusterLists,1.000000,vcl_sliced,none,AoS,disabled,280855239,442979380,438961773,428421337,428421337
2024-05-21 17:30:50,134,VerletClusterLists,1.000000,vcl_sliced,none,AoS,enabled,176675438,361177910,360502388,348247258,348247258
2024-05-21 17:30:51,137,VerletClusterLists,1.000000,vcl_sliced,none,SoA,disabled,170938470,347790928,345869617,334207540,334207540
2024-05-21 17:30:52,140,VerletClusterLists,1.000000,vcl_sliced,none,SoA,enabled,107084472,316094003,317523591,302160034,302160034
2024-05-21 17:30:54,143,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,disabled,279409670,434738585,434241319,423919209,423919209
2024-05-21 17:30:55,146,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,enabled,175258600,362534820,362978416,350049738,350049738
2024-05-21 17:30:56,149,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,disabled,174228099,347801227,354924923,336229685,336229685
2024-05-21 17:30:57,152,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,enabled,112931551,317899337,317750302,304095718,304095718
2024-05-21 17:30:59,155,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,disabled,286079323,426992107,431347988,417597921,417597921
2024-05-21 17:31:00,158,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,enabled,179461182,360619148,359749247,347730042,347730042
2024-05-21 17:31:01,161,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,disabled,172531258,347845773,346740572,335126617,335126617
2024-05-21 17:31:02,164,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,enabled,105480420,316954669,317154155,302856385,302856385
2024-05-21 17:31:04,167,VerletClusterLists,1.000000,vcl_sliced_c02,none,AoS,disabled,294551148,430453827,432092126,421393648,421393648
2024-05-21 17:31:05,170,VerletClusterLists,1.000000,vcl_sliced_c02,none,AoS,enabled,173730963,361114563,359456590,347074881,347074881
2024-05-21 17:31:06,173,VerletClusterLists,1.000000,vcl_sliced_c02,none,SoA,disabled,173835554,351725650,345661275,334206226,334206226
2024-05-21 17:31:07,176,VerletClusterLists,1.000000,vcl_sliced_c02,none,SoA,enabled,106960420,317603193,316943818,302944924,302944924
2024-05-21 17:31:08,179,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,302739941,70768449,71111539,86233215,86233215
2024-05-21 17:31:08,182,VerletLists,1.000000,vl_list_iteration,none,SoA,disabled,342283842,39352596,39433901,59548012,59548012
2024-05-21 17:31:09,185,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,207214722,47266632,47507526,57929838,57929838
2024-05-21 17:31:09,188,VerletListsCells,1.000000,vlc_c01,none,SoA,disabled,368650820,35081940,47418278,57319865,57319865
2024-05-21 17:31:09,191,VerletListsCells,1.000000,vlc_c18,none,AoS,disabled,220119378,57568832,57112547,67979669,67979669
2024-05-21 17:31:10,194,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,116091288,32339581,32314284,37899417,37899417
2024-05-21 17:31:10,197,VerletListsCells,1.000000,vlc_c18,none,SoA,disabled,364119376,42132973,42241826,63598733,63598733
2024-05-21 17:31:11,200,VerletListsCells,1.000000,vlc_c18,none,SoA,enabled,226256053,31046844,31027777,44042995,44042995
2024-05-21 17:31:11,203,VerletListsCells,1.000000,vlc_sliced,none,AoS,disabled,200004269,54210682,55166400,63930254,63930254
2024-05-21 17:31:11,206,VerletListsCells,1.000000,vlc_sliced,none,AoS,enabled,115117559,30614709,31014363,36248232,36248232
2024-05-21 17:31:12,209,VerletListsCells,1.000000,vlc_sliced,none,SoA,disabled,362677882,45090011,42687952,64020614,64020614
2024-05-21 17:31:12,212,VerletListsCells,1.000000,vlc_sliced,none,SoA,enabled,223350871,29974811,29782102,42686686,42686686
2024-05-21 17:31:12,215,VerletListsCells,1.000000,vlc_sliced_balanced,none,AoS,disabled,202161051,57407736,54338295,64193145,64193145
2024-05-21 17:31:13,218,VerletListsCells,1.000000,vlc_sliced_balanced,none,AoS,enabled,112752545,32772867,30557030,36036731,36036731
2024-05-21 17:31:13,221,VerletListsCells,1.000000,vlc_sliced_balanced,none,SoA,disabled,363216970,47790718,45229922,66429058,66429058
2024-05-21 17:31:13,224,VerletListsCells,1.000000,vlc_sliced_balanced,none,SoA,enabled,229811079,31526743,31477085,44699351,44699351
2024-05-21 17:31:14,227,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,AoS,disabled,208611628,56862020,56782945,66904857,66904857
2024-05-21 17:31:14,230,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,AoS,enabled,109990312,33300943,30996780,36263015,36263015
2024-05-21 17:31:15,233,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,SoA,disabled,364137052,42690860,41748374,63240952,63240952
2024-05-21 17:31:15,236,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,SoA,enabled,224358619,29768304,29712193,42688621,42688621
2024-05-21 17:31:15,239,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,AoS,disabled,203002838,52189481,52320322,62243704,62243704
2024-05-21 17:31:15,242,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,AoS,enabled,117097809,30048967,30049571,35852223,35852223
2024-05-21 17:31:16,245,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,SoA,disabled,348806699,46600142,45352395,65582681,65582681
2024-05-21 17:31:16,248,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,SoA,enabled,224065228,31497787,29016952,42020170,42020170
2024-05-21 17:31:17,251,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,disabled,206073709,55746803,55736812,65759271,65759271
2024-05-21 17:31:17,254,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,enabled,115213492,29251806,32100433,34982585,34982585
2024-05-21 17:31:17,257,VerletListsCells,1.000000,vlc_sliced_c02,none,SoA,disabled,367832974,39482857,39447625,61339981,61339981
2024-05-21 17:31:18,260,VerletListsCells,1.000000,vlc_sliced_c02,none,SoA,enabled,249576905,28024024,28207017,42794216,42794216
2024-05-21 17:31:18,263,PairwiseVerletLists,1.000000,vlp_c01,none,AoS,disabled,315111689,52492917,53038867,70000835,70000835
2024-05-21 17:31:19,266,PairwiseVerletLists,1.000000,vlp_c01,none,SoA,disabled,824965957,58166087,57861586,109001877,109001877
2024-05-21 17:31:20,269,PairwiseVerletLists,1.000000,vlp_c18,none,AoS,disabled,362312183,64591334,64317668,84183969,84183969
2024-05-21 17:31:20,272,PairwiseVerletLists,1.000000,vlp_c18,none,AoS,enabled,225183637,34864783,34768065,47462436,47462436
