Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed
2024-05-21 16:50:04,2,LinkedCells,1.000000,lc_c01,none,AoS,disabled,50520015,50246636,50254109,50273973,50273973
2024-05-21 16:50:04,5,LinkedCells,1.000000,lc_c01,none,SoA,disabled,48333142,25356030,25538199,27653741,27653741
2024-05-21 16:50:04,8,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,25252845,22605434,22480329,22757580,22757580
2024-05-21 16:50:04,11,LinkedCells,1.000000,lc_c04,none,AoS,disabled,40011887,39756748,39942866,39782261,39782261
2024-05-21 16:50:04,14,LinkedCells,1.000000,lc_c04,none,AoS,enabled,30504265,30364470,30463396,30378449,30378449
2024-05-21 16:50:04,17,LinkedCells,1.000000,lc_c04,none,SoA,disabled,27952131,27911983,27847761,27858198,27858198
2024-05-21 16:50:05,20,LinkedCells,1.000000,lc_c04,none,SoA,enabled,17938505,17280408,17732037,17346217,17346217
2024-05-21 16:50:05,23,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,40429083,40420345,40500916,40421218,40421218
2024-05-21 16:50:05,26,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,31187128,31228480,31209594,31207347,31207347
2024-05-21 16:50:05,29,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,29826394,28814667,28898007,28915839,28915839
2024-05-21 16:50:05,32,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,19061751,18492779,18592656,18549676,18549676
2024-05-21 16:50:05,35,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,33094062,32608167,32408466,32477025,32477025
2024-05-21 16:50:05,38,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,23956259,23930838,23802991,23818317,23818317
2024-05-21 16:50:06,41,LinkedCells,1.000000,lc_c08,none,AoS,disabled,43281752,43281460,43373841,43281489,43281489
2024-05-21 16:50:06,44,LinkedCells,1.000000,lc_c08,none,AoS,enabled,34576351,34658803,34685900,34650557,34650557
2024-05-21 16:50:06,47,LinkedCells,1.000000,lc_c08,none,SoA,disabled,33486954,32399286,32550641,32508052,32508052
2024-05-21 16:50:06,50,LinkedCells,1.000000,lc_c08,none,SoA,enabled,21145011,20717023,20966915,20759821,20759821
2024-05-21 16:50:06,53,LinkedCells,1.000000,lc_c18,none,AoS,disabled,42792345,43019210,43087158,42996523,42996523
2024-05-21 16:50:06,56,LinkedCells,1.000000,lc_c18,none,AoS,enabled,33915732,33850648,33845428,33852458,33852458
2024-05-21 16:50:07,59,LinkedCells,1.000000,lc_c18,none,SoA,disabled,35578949,34243158,34510578,34376737,34376737
2024-05-21 16:50:07,62,LinkedCells,1.000000,lc_c18,none,SoA,enabled,21109530,20551442,20645673,20607250,20607250
2024-05-21 16:50:07,65,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,43868117,41672741,41684230,41892278,41892278
2024-05-21 16:50:07,68,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,32248732,32228743,33038254,32230741,32230741
2024-05-21 16:50:07,71,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,33981652,29244868,29160282,29642419,29642419
2024-05-21 16:50:07,74,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,17238336,17137919,17098693,17112657,17112657
2024-05-21 16:50:07,77,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,44204666,42184741,43566924,42386733,42386733
2024-05-21 16:50:08,80,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,33232666,32966609,32978199,32993214,32993214
2024-05-21 16:50:08,83,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,30888094,29158306,30012059,29331284,29331284
2024-05-21 16:50:08,86,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,17177790,17605297,17201409,17199047,17199047
2024-05-21 16:50:08,89,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,43669172,42287713,42150840,42302673,42302673
