Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-05-14 02:48:23,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,12752833,8240619,16744099,50677325,50131636,10827965,10504160,11346411,8894159,8108693,18822789,18822789
2024-05-14 02:48:23,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,10238034,11308299,6457463,9570790,5205627,5625362,9727862,9463237,9071860,26455971,10312450,10312450
2024-05-14 02:48:24,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,11866632,7519192,12342689,8231311,8494674,8849202,10299369,9949155,6933160,8445221,9293060,9293060
2024-05-14 02:48:24,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,27245102,26412651,26359151,28985667,26488250,30110116,35405151,65308911,40036930,29659244,33601117,33601117
2024-05-14 02:48:24,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,22885110,18472512,23465744,24297926,27572885,27922698,18689907,19534623,18193881,21255793,22229107,22229107
2024-05-14 02:48:25,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,21481222,22467230,29389002,24690337,33813833,131855820,63240333,111320623,84323004,46697210,56927860,56927860
2024-05-14 02:48:26,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,86165519,18751953,25501170,25496881,15548318,17500069,11361199,10876406,24200234,63403627,29880536,29880536
2024-05-14 02:48:26,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,34415855,17705151,18113483,24297003,18991680,17936582,16962465,15631452,19390944,16402281,19984688,19984688
2024-05-14 02:48:26,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,14181639,9131852,12675379,13602688,12034182,12687424,12534168,12227713,12517666,16308484,12790119,12790119
2024-05-14 02:48:27,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,14549586,15604423,14707210,13953914,14270515,14685648,15792765,19803372,14910117,16015189,15429273,15429273
2024-05-14 02:48:27,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,10274101,10084727,10166811,10215832,10056547,10512294,12688865,10709696,11816148,10210042,10673505,10673505
2024-05-14 02:48:27,119,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,18716096,18315999,17766525,17256654,22760940,17734455,18444640,19082519,17978449,16349903,18440617,18440617
2024-05-14 02:48:28,129,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,17434194,17581118,12871124,13971907,11963052,13196261,13568495,32835949,33397646,33604432,20042417,20042417
2024-05-14 02:48:28,139,LinkedCells,1.000000,lc_c08,none,AoS,disabled,11603452,14165418,12823275,13337194,13529463,11287050,18127357,13811808,15375468,13059837,13712031,13712031
2024-05-14 02:48:28,149,LinkedCells,1.000000,lc_c08,none,AoS,enabled,7819072,10456791,10258472,11327736,10645664,7565561,21753580,17671218,21238081,21792753,14052892,14052892
2024-05-14 02:48:29,159,LinkedCells,1.000000,lc_c08,none,SoA,disabled,28807126,28146163,24560405,25569506,26129142,6721716,6592485,8625758,14494242,7762747,17740928,17740928
2024-05-14 02:48:29,169,LinkedCells,1.000000,lc_c08,none,SoA,enabled,5184538,6452092,5048045,4298788,9154324,5665977,4824118,6549736,5041331,5556903,5777584,5777584
2024-05-14 02:48:29,179,LinkedCells,1.000000,lc_c18,none,AoS,disabled,8570824,12848472,11489989,10600301,15478336,13810207,10756511,11535592,12709333,17159755,12495931,12495931
2024-05-14 02:48:29,189,LinkedCells,1.000000,lc_c18,none,AoS,enabled,6521884,7142481,7638946,6687944,9900847,11572545,7808041,8122440,9536635,9335249,8426700,8426700
2024-05-14 02:48:30,199,LinkedCells,1.000000,lc_c18,none,SoA,disabled,13473296,12247292,12605632,10027452,9743824,11663962,13697295,9271490,13305385,10754418,11679003,11679003
2024-05-14 02:48:30,209,LinkedCells,1.000000,lc_c18,none,SoA,enabled,6632869,7167509,10256709,9258235,12469275,10605670,5688680,10109504,15433784,23774038,11139627,11139627
2024-05-14 02:48:30,219,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,52962435,29202573,32329846,32927870,29359015,33546996,32218868,29102144,29624039,32838493,33411227,33411227
2024-05-14 02:48:31,229,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,25573714,28242712,28567840,26165930,22748357,22034434,22707929,25321956,38879179,27133423,26737547,26737547
2024-05-14 02:48:31,239,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,30401530,29060629,34550766,30018664,29932254,26540508,25037084,24777239,24975901,25890065,28118464,28118464
2024-05-14 02:48:32,249,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,15143172,14601451,14928433,22796925,15949977,15946789,16157505,15171694,17198286,15492154,16338638,16338638
2024-05-14 02:48:32,259,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,29958223,30252512,30694505,29506241,29358404,28447515,29096624,29901437,32878488,38761440,30885538,30885538
