Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,tuning[ns],optimumPerformance[ns]
2024-05-13 01:19:57,102,LinkedCells,1.000000,lc_c08,none,SoA,enabled,48649912,36282081
2024-05-13 01:20:53,704,LinkedCells,1.000000,lc_c08,none,SoA,enabled,55777054,40237543
2024-05-13 01:21:55,1306,LinkedCells,1.000000,lc_c08,none,SoA,enabled,55177378,44267771
2024-05-13 01:22:59,1908,LinkedCells,1.000000,lc_c08,none,SoA,enabled,58226463,45238058
2024-05-13 01:24:04,2510,LinkedCells,1.000000,lc_c08,none,SoA,enabled,48861950,45439513
2024-05-13 01:25:01,3112,LinkedCells,1.000000,lc_c08,none,SoA,enabled,48479003,46360696
2024-05-13 01:26:06,3714,LinkedCells,1.000000,lc_c08,none,SoA,enabled,48968547,44654601
2024-05-13 01:27:06,4316,LinkedCells,1.000000,lc_c08,none,SoA,enabled,50988916,43990110
2024-05-13 01:28:05,4918,LinkedCells,1.000000,lc_c08,none,SoA,enabled,49715790,44851501
2024-05-13 01:29:02,5520,LinkedCells,1.000000,lc_c08,none,SoA,enabled,48410325,42198013
2024-05-13 01:29:57,6122,LinkedCells,1.000000,lc_c08,none,SoA,enabled,48629174,39551241
2024-05-13 01:30:50,6724,LinkedCells,1.000000,lc_c08,none,SoA,enabled,49175062,38057928
2024-05-13 01:31:45,7326,LinkedCells,1.000000,lc_c08,none,SoA,enabled,47954566,39410637
2024-05-13 01:32:41,7928,LinkedCells,1.000000,lc_c08,none,SoA,enabled,49037085,41703534
2024-05-13 01:33:43,8530,LinkedCells,1.000000,lc_c08,none,SoA,enabled,51482326,43040796
2024-05-13 01:34:51,9132,LinkedCells,1.000000,lc_c08,none,SoA,enabled,47012738,43907631
2024-05-13 01:35:51,9734,LinkedCells,1.000000,lc_c08,none,SoA,enabled,47997506,44242088
2024-05-13 01:37:01,10336,LinkedCells,1.000000,lc_c08,none,SoA,enabled,49802393,49129443
2024-05-13 01:37:59,10938,LinkedCells,1.000000,lc_c08,none,SoA,enabled,46185487,39307209
2024-05-13 01:38:58,11540,LinkedCells,1.000000,lc_c08,none,SoA,enabled,50426757,47450974
2024-05-13 01:40:05,12142,LinkedCells,1.000000,lc_c08,none,SoA,enabled,47976397,45989893
2024-05-13 01:41:04,12744,LinkedCells,1.000000,lc_c08,none,SoA,enabled,47065026,44101966
2024-05-13 01:42:10,13346,LinkedCells,1.000000,lc_c08,none,SoA,enabled,50871196,45856704
2024-05-13 01:43:08,13948,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,16288908,45411900
2024-05-13 01:44:08,14550,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,36451501,42652753
2024-05-13 01:45:09,15152,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,38736623,43794296
2024-05-13 01:46:11,15754,LinkedCells,1.000000,lc_c08,none,SoA,enabled,46975991,39659885
2024-05-13 01:47:07,16356,LinkedCells,1.000000,lc_c08,none,SoA,enabled,46487128,39626072
2024-05-13 01:48:04,16958,LinkedCells,1.000000,lc_c08,none,SoA,enabled,46182851,38252324
2024-05-13 01:48:58,17560,LinkedCells,1.000000,lc_c08,none,SoA,enabled,56766469,38820315
2024-05-13 01:49:59,18162,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,16382532,41820157
2024-05-13 01:51:01,18764,LinkedCells,1.000000,lc_c08,none,SoA,enabled,54418700,41405872
2024-05-13 01:51:59,19366,LinkedCells,1.000000,lc_c08,none,SoA,enabled,50471801,39247413
2024-05-13 01:52:56,19968,LinkedCells,1.000000,lc_c08,none,SoA,enabled,48099327,39323941
2024-05-13 01:54:09,20570,LinkedCells,1.000000,lc_c08,none,SoA,enabled,47227049,43780533
2024-05-13 01:55:12,21172,LinkedCells,1.000000,lc_c08,none,SoA,enabled,47248065,41059505
2024-05-13 01:56:14,21774,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,21280187,42386436
2024-05-13 01:57:35,22376,LinkedCells,1.000000,lc_c08,none,SoA,enabled,47852566,39220310
2024-05-13 01:58:33,22978,LinkedCells,1.000000,lc_c08,none,SoA,enabled,51736381,42912936
2024-05-13 01:59:38,23580,LinkedCells,1.000000,lc_c08,none,SoA,enabled,47678280,39827323
2024-05-13 02:00:40,24182,LinkedCells,1.000000,lc_c08,none,SoA,enabled,47645230,40496555
2024-05-13 02:01:51,24784,LinkedCells,1.000000,lc_c08,none,SoA,enabled,57419327,43275925
