Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed
2024-05-14 03:10:00,2,LinkedCells,1.000000,lc_c01,none,AoS,disabled,118416618,58775148,58672525,64646934,64646934
2024-05-14 03:10:00,5,LinkedCells,1.000000,lc_c01,none,SoA,disabled,80917672,44183443,75399151,47856865,47856865
2024-05-14 03:10:01,8,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,53076507,51448261,51946931,51611085,51611085
2024-05-14 03:10:02,11,LinkedCells,1.000000,lc_c04,none,AoS,disabled,50777350,50986723,51840954,50965785,50965785
2024-05-14 03:10:02,14,LinkedCells,1.000000,lc_c04,none,AoS,enabled,54654951,39552075,40184144,41062362,41062362
2024-05-14 03:10:03,17,LinkedCells,1.000000,lc_c04,none,SoA,disabled,44944252,45309774,46172471,45273221,45273221
2024-05-14 03:10:04,20,LinkedCells,1.000000,lc_c04,none,SoA,enabled,26407372,27956640,27529463,27417253,27417253
2024-05-14 03:10:04,23,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,45001016,45025355,101106849,45022921,45022921
2024-05-14 03:10:05,26,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,35514096,35062472,35459162,35107634,35107634
2024-05-14 03:10:06,29,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,41032065,42338653,41186344,41170916,41170916
2024-05-14 03:10:06,32,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,24615619,24145111,27218021,24192161,24192161
2024-05-14 03:10:07,35,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,55104152,61579076,54680290,54722676,54722676
2024-05-14 03:10:07,38,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,42055103,42302254,42859594,42277538,42277538
2024-05-14 03:10:08,41,LinkedCells,1.000000,lc_c08,none,AoS,disabled,44848933,44770118,44754759,44764176,44764176
2024-05-14 03:10:09,44,LinkedCells,1.000000,lc_c08,none,AoS,enabled,35108949,36209280,35263676,35248203,35248203
2024-05-14 03:10:09,47,LinkedCells,1.000000,lc_c08,none,SoA,disabled,41037774,42376452,47826698,42242584,42242584
2024-05-14 03:10:10,50,LinkedCells,1.000000,lc_c08,none,SoA,enabled,25249570,24656847,24134630,24246124,24246124
2024-05-14 03:10:10,53,LinkedCells,1.000000,lc_c18,none,AoS,disabled,42789692,42040498,44471540,42115417,42115417
2024-05-14 03:10:11,56,LinkedCells,1.000000,lc_c18,none,AoS,enabled,34124744,34603898,33804185,33836240,33836240
2024-05-14 03:10:12,59,LinkedCells,1.000000,lc_c18,none,SoA,disabled,60401569,44151984,42907925,44657289,44657289
2024-05-14 03:10:12,62,LinkedCells,1.000000,lc_c18,none,SoA,enabled,24230470,25208223,24719853,24670914,24670914
2024-05-14 03:10:13,65,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,69021736,76068709,67671178,67806233,67806233
2024-05-14 03:10:14,68,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,56786707,55247417,59681957,55401346,55401346
2024-05-14 03:10:14,71,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,63979103,59701755,65805357,60129489,60129489
2024-05-14 03:10:15,74,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,40799771,39064126,38616600,38834917,38834917
2024-05-14 03:10:16,77,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,63909984,72812937,72797310,71908577,71908577
2024-05-14 03:10:16,80,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,70698245,59375467,58816253,60004452,60004452
2024-05-14 03:10:17,83,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,66064391,71792964,75147943,71220106,71220106
2024-05-14 03:10:18,86,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,41559652,48512527,44435232,44147674,44147674
2024-05-14 03:10:18,89,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,81058315,80511275,77816909,78141049,78141049
2024-05-14 03:10:19,92,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,57728665,64120465,57704409,57706834,57706834
2024-05-14 03:10:20,95,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,68287697,69726360,68591544,68561159,68561159
2024-05-14 03:10:21,98,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,39594534,34619226,37774109,35116756,35116756
2024-05-14 03:10:21,101,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,69113819,82827463,72701289,72342542,72342542
2024-05-14 03:10:22,104,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,57988540,63526478,62506416,62054628,62054628
2024-05-14 03:10:23,107,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,70343903,68936328,65294096,65799076,65799076
2024-05-14 03:10:23,110,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,40418631,41252485,38341006,38548768,38548768
2024-05-14 03:10:24,113,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,370507592,41176897,41694041,74109966,74109966
2024-05-14 03:10:25,116,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,283263410,22144810,22717759,48256670,48256670
2024-05-14 03:10:26,119,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,314058182,54570264,53321266,79394957,79394957
2024-05-14 03:10:27,122,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,214637863,28810472,49765572,47393211,47393211
2024-05-14 03:10:28,125,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,310965685,91247118,36556689,63997588,63997588
2024-05-14 03:10:29,128,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,237297083,23922777,28216244,45260207,45260207
2024-05-14 03:10:30,131,VerletClusterLists,1.000000,vcl_sliced,none,AoS,disabled,484875140,187825006,255657305,217530019,217530019
2024-05-14 03:10:31,134,VerletClusterLists,1.000000,vcl_sliced,none,AoS,enabled,270054325,82612634,76430342,95792740,95792740
2024-05-14 03:10:32,137,VerletClusterLists,1.000000,vcl_sliced,none,SoA,disabled,394954696,92216406,59363655,92922759,92922759
2024-05-14 03:10:33,140,VerletClusterLists,1.000000,vcl_sliced,none,SoA,enabled,225972150,35486333,38720664,54534914,54534914
2024-05-14 03:10:35,143,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,disabled,681355311,113091298,110512998,167597229,167597229
2024-05-14 03:10:36,146,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,enabled,266372639,69862897,67797434,87654954,87654954
2024-05-14 03:10:37,149,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,disabled,382160234,56725144,58896223,89268653,89268653
2024-05-14 03:10:38,152,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,enabled,227486677,37738681,38271115,56713480,56713480
2024-05-14 03:10:39,155,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,disabled,401759748,132404527,127522741,154946441,154946441
2024-05-14 03:10:40,158,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,enabled,235981528,56438440,60093835,74392748,74392748
2024-05-14 03:10:41,161,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,disabled,333858690,53683020,47818212,76422259,76422259
2024-05-14 03:10:42,164,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,enabled,190743860,29889283,41202504,45974740,45974740
2024-05-14 03:10:43,167,VerletClusterLists,1.000000,vcl_sliced_c02,none,AoS,disabled,440584323,146152407,140916301,170883103,170883103
2024-05-14 03:10:44,170,VerletClusterLists,1.000000,vcl_sliced_c02,none,AoS,enabled,258419135,86752663,74131877,92560602,92560602
2024-05-14 03:10:45,173,VerletClusterLists,1.000000,vcl_sliced_c02,none,SoA,disabled,404750042,77830415,73782545,106879294,106879294
2024-05-14 03:10:46,176,VerletClusterLists,1.000000,vcl_sliced_c02,none,SoA,enabled,205543301,55732833,44543954,60643888,60643888
2024-05-14 03:10:47,179,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,118347719,17941550,16203109,26417570,26417570
2024-05-14 03:10:47,182,VerletLists,1.000000,vl_list_iteration,none,SoA,disabled,204342129,23121391,25797553,41243464,41243464
2024-05-14 03:10:48,185,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,90585583,18365872,21266011,25587843,25587843
2024-05-14 03:10:49,188,VerletListsCells,1.000000,vlc_c01,none,SoA,disabled,328818201,24123762,23437390,53975471,53975471
2024-05-14 03:10:50,191,VerletListsCells,1.000000,vlc_c18,none,AoS,disabled,67443044,20094226,18281937,23198047,23198047
