Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed
2024-05-14 23:29:42,2,LinkedCells,1.000000,lc_c01,none,AoS,disabled,176849856,143020984,143287379,145276242,145276242
2024-05-14 23:29:43,5,LinkedCells,1.000000,lc_c01,none,SoA,disabled,113647031,125555295,123438565,122785796,122785796
2024-05-14 23:29:44,8,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,128359058,136228640,139522487,135704001,135704001
2024-05-14 23:29:46,11,LinkedCells,1.000000,lc_c04,none,AoS,disabled,334460829,340463725,374391924,340063531,340063531
2024-05-14 23:29:47,14,LinkedCells,1.000000,lc_c04,none,AoS,enabled,217653637,222396860,204331921,205220035,205220035
2024-05-14 23:29:48,17,LinkedCells,1.000000,lc_c04,none,SoA,disabled,257260890,260012304,271395447,259828876,259828876
2024-05-14 23:29:49,20,LinkedCells,1.000000,lc_c04,none,SoA,enabled,134801532,136717057,133359099,133455261,133455261
2024-05-14 23:29:50,23,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,190236096,184578908,197352567,184956053,184956053
2024-05-14 23:29:51,26,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,117927481,115680998,117992491,115830763,115830763
2024-05-14 23:29:52,29,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,142604802,142641614,141466786,141542653,141542653
2024-05-14 23:29:52,32,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,72045980,76601858,75554452,75320553,75320553
2024-05-14 23:29:53,35,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,204029096,186174898,184992698,186261791,186261791
2024-05-14 23:29:54,38,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,109524348,104207260,127481980,104561732,104561732
2024-05-14 23:29:55,41,LinkedCells,1.000000,lc_c08,none,AoS,disabled,175008336,173074782,172653924,172810884,172810884
2024-05-14 23:29:56,44,LinkedCells,1.000000,lc_c08,none,AoS,enabled,109595084,109646001,112923811,109642606,109642606
2024-05-14 23:29:57,47,LinkedCells,1.000000,lc_c08,none,SoA,disabled,140122751,161814570,134543504,134915453,134915453
2024-05-14 23:29:58,50,LinkedCells,1.000000,lc_c08,none,SoA,enabled,71771141,69444419,70262337,69599533,69599533
2024-05-14 23:29:59,53,LinkedCells,1.000000,lc_c18,none,AoS,disabled,149522869,152425025,176735209,152231547,152231547
2024-05-14 23:29:59,56,LinkedCells,1.000000,lc_c18,none,AoS,enabled,97762788,106072256,98172860,98145521,98145521
2024-05-14 23:30:00,59,LinkedCells,1.000000,lc_c18,none,SoA,disabled,146131211,145117975,147032503,145185524,145185524
2024-05-14 23:30:01,62,LinkedCells,1.000000,lc_c18,none,SoA,enabled,77708231,77452698,77681202,77469733,77469733
2024-05-14 23:30:02,65,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,337093306,343851518,323096039,324029190,324029190
2024-05-14 23:30:04,68,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,241420263,205040695,221662985,207465999,207465999
2024-05-14 23:30:05,71,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,260626972,263443727,269432684,263255943,263255943
2024-05-14 23:30:06,74,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,150276572,145886940,145546684,145862009,145862009
2024-05-14 23:30:07,77,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,318434492,345367839,347957921,343572282,343572282
2024-05-14 23:30:08,80,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,194034405,192748473,241337483,192834201,192834201
2024-05-14 23:30:10,83,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,264688962,259160145,265805034,259528732,259528732
2024-05-14 23:30:10,86,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,134219460,144290711,134124027,134130389,134130389
2024-05-14 23:30:12,89,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,379992166,330068306,369991256,333396563,333396563
2024-05-14 23:30:13,92,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,212463883,198579567,209489747,199505188,199505188
2024-05-14 23:30:14,95,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,274140881,258229907,262874450,259290638,259290638
2024-05-14 23:30:15,98,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,137786374,134178200,142320261,134418744,134418744
2024-05-14 23:30:17,101,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,347026892,340551496,344323188,340983189,340983189
2024-05-14 23:30:18,104,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,215852833,236342162,226771811,226043879,226043879
2024-05-14 23:30:19,107,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,265553318,268570089,263862563,263975280,263975280
2024-05-14 23:30:20,110,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,136428013,158867081,148482115,147678508,147678508
2024-05-14 23:30:22,113,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,744786853,255395883,199075851,235456584,235456584
2024-05-14 23:30:23,116,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,574167614,91713250,112003337,123876874,123876874
2024-05-14 23:30:25,119,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,768257715,331952767,265541719,299056118,299056118
2024-05-14 23:30:26,122,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,458651070,143524524,147554785,164532960,164532960
2024-05-14 23:30:28,125,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,598676503,114050428,115978671,146358833,146358833
2024-05-14 23:30:29,128,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,376058622,62188929,62693463,83113575,83113575
2024-05-14 23:30:32,131,VerletClusterLists,1.000000,vcl_sliced,none,AoS,disabled,986727903,776798971,939938494,790794233,790794233
2024-05-14 23:30:34,134,VerletClusterLists,1.000000,vcl_sliced,none,AoS,enabled,593992272,293096908,394024027,313156598,313156598
2024-05-14 23:30:36,137,VerletClusterLists,1.000000,vcl_sliced,none,SoA,disabled,793836429,237181305,300712222,274291646,274291646
2024-05-14 23:30:37,140,VerletClusterLists,1.000000,vcl_sliced,none,SoA,enabled,457529375,135701265,141509907,157156472,157156472
2024-05-14 23:30:40,143,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,disabled,991328721,610483781,490260776,523665305,523665305
2024-05-14 23:30:42,146,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,enabled,616090764,298251843,322982214,319441104,319441104
2024-05-14 23:30:44,149,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,disabled,765148562,323521783,325074618,352963568,352963568
