Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed
2024-05-13 03:35:40,2,LinkedCells,1.000000,lc_c01,none,AoS,disabled,508448642,503982503,515498139,504429116,504429116
2024-05-13 03:35:42,5,LinkedCells,1.000000,lc_c01,none,SoA,disabled,543692532,312408064,316020130,335536510,335536510
2024-05-13 03:35:44,8,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,447822565,436810696,441569411,437911882,437911882
2024-05-13 03:35:46,11,LinkedCells,1.000000,lc_c04,none,AoS,disabled,454748362,451261346,490745215,451610047,451610047
2024-05-13 03:35:48,14,LinkedCells,1.000000,lc_c04,none,AoS,enabled,347331301,305421305,327784542,309612304,309612304
2024-05-13 03:35:50,17,LinkedCells,1.000000,lc_c04,none,SoA,disabled,363777279,318024600,335646225,322599867,322599867
2024-05-13 03:35:51,20,LinkedCells,1.000000,lc_c04,none,SoA,enabled,183179983,203172820,189046214,188459590,188459590
2024-05-13 03:35:53,23,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,424674142,452202134,466245134,449449334,449449334
2024-05-13 03:35:55,26,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,303090256,337121186,317722368,316259156,316259156
2024-05-13 03:35:57,29,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,341493219,341830350,357238255,341796636,341796636
2024-05-13 03:35:59,32,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,202641080,214741024,193223123,194164918,194164918
2024-05-13 03:36:01,35,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,470339109,470117966,586069516,470140080,470140080
2024-05-13 03:36:03,38,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,337198379,357988103,312418846,314896799,314896799
2024-05-13 03:36:05,41,LinkedCells,1.000000,lc_c08,none,AoS,disabled,453647821,400310627,373924908,381897199,381897199
2024-05-13 03:36:07,44,LinkedCells,1.000000,lc_c08,none,AoS,enabled,294639127,342752962,331209843,327552771,327552771
2024-05-13 03:36:08,47,LinkedCells,1.000000,lc_c08,none,SoA,disabled,321903255,341736235,320297653,320458213,320458213
2024-05-13 03:36:10,50,LinkedCells,1.000000,lc_c08,none,SoA,enabled,206068831,190759120,197214249,192290091,192290091
2024-05-13 03:36:12,53,LinkedCells,1.000000,lc_c18,none,AoS,disabled,335119714,402020726,384111713,379212513,379212513
2024-05-13 03:36:13,56,LinkedCells,1.000000,lc_c18,none,AoS,enabled,308351310,308281068,304386426,304782914,304782914
2024-05-13 03:36:15,59,LinkedCells,1.000000,lc_c18,none,SoA,disabled,325976571,338244221,324662630,324794024,324794024
2024-05-13 03:36:17,62,LinkedCells,1.000000,lc_c18,none,SoA,enabled,233560383,191418929,199224587,195633074,195633074
2024-05-13 03:36:19,65,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,480534805,561290508,474825348,475396293,475396293
2024-05-13 03:36:21,68,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,376031576,416610546,386803095,385725943,385725943
2024-05-13 03:36:23,71,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,412169815,424184070,415144651,414847167,414847167
2024-05-13 03:36:24,74,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,236433163,234387347,241770646,234591928,234591928
2024-05-13 03:36:27,77,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,425292759,413923073,471552650,415060041,415060041
2024-05-13 03:36:28,80,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,397068517,372617446,328502813,335359383,335359383
2024-05-13 03:36:30,83,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,346645289,346185120,356908890,346231136,346231136
2024-05-13 03:36:32,86,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,204790617,207054660,204808150,204806396,204806396
2024-05-13 03:36:34,89,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,430444513,408436238,433746505,410637065,410637065
2024-05-13 03:36:36,92,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,319450930,320763541,373355174,320632279,320632279
2024-05-13 03:36:38,95,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,373251242,348172309,345224903,348027536,348027536
2024-05-13 03:36:39,98,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,202149984,206653775,215193742,206203395,206203395
2024-05-13 03:36:42,101,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,502592495,523288635,541202875,521219021,521219021
2024-05-13 03:36:44,104,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,471334334,392938894,379561615,388738886,388738886
2024-05-13 03:36:46,107,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,440226597,411856677,417011230,414693669,414693669
2024-05-13 03:36:48,110,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,251290034,257467814,283412905,256850036,256850036
2024-05-13 03:36:54,113,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,4617421274,405334498,380618058,804298379,804298379
2024-05-13 03:36:59,116,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,4304966198,172733713,168356788,582017729,582017729
2024-05-13 03:37:05,119,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,4498805969,362580672,366324524,776203201,776203201
2024-05-13 03:37:09,122,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,2507537204,199443824,187780131,419755838,419755838
2024-05-13 03:37:14,125,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,4400816349,171731862,182462055,594640310,594640310
2024-05-13 03:37:18,128,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,2566410755,112148889,102330338,348738379,348738379
2024-05-13 03:37:25,131,VerletClusterLists,1.000000,vcl_sliced,none,AoS,disabled,4672709736,603959101,586694043,995295612,995295612
2024-05-13 03:37:29,134,VerletClusterLists,1.000000,vcl_sliced,none,AoS,enabled,2830314224,284429486,266800157,523151563,523151563
2024-05-13 03:37:34,137,VerletClusterLists,1.000000,vcl_sliced,none,SoA,disabled,4422178163,228704106,234170769,648051511,648051511
2024-05-13 03:37:38,140,VerletClusterLists,1.000000,vcl_sliced,none,SoA,enabled,2450896057,138645776,139444715,369870804,369870804
2024-05-13 03:37:44,143,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,disabled,4676363697,468848541,465411211,886506459,886506459
2024-05-13 03:37:48,146,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,enabled,2568781845,253678368,250612530,482429461,482429461
2024-05-13 03:37:54,149,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,disabled,4446230663,246876198,231667554,653123864,653123864
2024-05-13 03:37:57,152,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,enabled,2446807110,140254507,162076017,370909767,370909767
2024-05-13 03:38:04,155,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,disabled,4993578164,522789816,517892103,965460709,965460709
2024-05-13 03:38:08,158,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,enabled,2571762615,260578092,256181695,487739787,487739787
2024-05-13 03:38:14,161,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,disabled,4454955545,226988573,240361594,649785270,649785270
2024-05-13 03:38:17,164,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,enabled,2458485435,141920889,131531113,364226545,364226545
2024-05-13 03:38:24,167,VerletClusterLists,1.000000,vcl_sliced_c02,none,AoS,disabled,4887854861,583063884,578619277,1009542835,1009542835
2024-05-13 03:38:28,170,VerletClusterLists,1.000000,vcl_sliced_c02,none,AoS,enabled,2663808119,331343607,318627716,553145756,553145756
2024-05-13 03:38:34,173,VerletClusterLists,1.000000,vcl_sliced_c02,none,SoA,disabled,4514379966,315745179,290054718,712487242,712487242
2024-05-13 03:38:38,176,VerletClusterLists,1.000000,vcl_sliced_c02,none,SoA,enabled,2509847969,168704115,183692769,402818500,402818500
2024-05-13 03:38:40,179,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,761520931,153658374,158055625,214444629,214444629
2024-05-13 03:38:42,182,VerletLists,1.000000,vl_list_iteration,none,SoA,disabled,1593801216,157892440,162898187,301483317,301483317
2024-05-13 03:38:45,185,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,631812155,123208045,124826172,174068456,174068456
2024-05-13 03:38:48,188,VerletListsCells,1.000000,vlc_c01,none,SoA,disabled,2646384813,177109129,179712245,424036697,424036697
2024-05-13 03:38:50,191,VerletListsCells,1.000000,vlc_c18,none,AoS,disabled,527495793,181388470,145450025,183654601,183654601
2024-05-13 03:38:51,194,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,492600747,85893403,99639940,126564137,126564137
2024-05-13 03:38:56,197,VerletListsCells,1.000000,vlc_c18,none,SoA,disabled,2907028817,184750993,188378970,456978775,456978775
2024-05-13 03:38:59,200,VerletListsCells,1.000000,vlc_c18,none,SoA,enabled,2202651724,188813472,177966964,380435440,380435440
2024-05-13 03:39:01,203,VerletListsCells,1.000000,vlc_sliced,none,AoS,disabled,581411598,171450479,179373626,212446590,212446590
2024-05-13 03:39:02,206,VerletListsCells,1.000000,vlc_sliced,none,AoS,enabled,597027293,102578771,99308010,149079938,149079938
2024-05-13 03:39:06,209,VerletListsCells,1.000000,vlc_sliced,none,SoA,disabled,2971770785,219989566,203863279,480654029,480654029
2024-05-13 03:39:10,212,VerletListsCells,1.000000,vlc_sliced,none,SoA,enabled,2229411696,189995507,191145752,393937125,393937125
