Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,tuning[ns],optimumPerformance[ns]
2024-05-13 23:12:27,150,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,19941160,9654842
2024-05-13 23:14:01,1300,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,32117720,9423365
2024-05-13 23:15:34,2450,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,64333613,9778849
2024-05-13 23:17:10,3600,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,22423981,8026459
2024-05-13 23:18:45,4750,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20186890,8078363
2024-05-13 23:20:18,5900,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20087903,7939172
2024-05-13 23:21:49,7050,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20994414,7558939
2024-05-13 23:23:22,8200,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20965442,7891357
2024-05-13 23:25:01,9350,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20184913,7780412
2024-05-13 23:26:34,10500,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,21453722,7412093
2024-05-13 23:28:07,11650,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20786997,7801743
2024-05-13 23:29:46,12800,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20947907,9073761
2024-05-13 23:31:19,13950,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20079368,8448879
2024-05-13 23:32:53,15100,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,22971231,7781996
2024-05-13 23:34:30,16250,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,21772907,8166133
2024-05-13 23:35:59,17400,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20705455,7876875
2024-05-13 23:37:33,18550,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,19579334,7462995
2024-05-13 23:39:01,19700,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,19954526,7989345
2024-05-13 23:40:35,20850,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20704145,8393600
2024-05-13 23:42:08,22000,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,22728825,10491178
2024-05-13 23:43:45,23150,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20150141,7684882
2024-05-13 23:45:14,24300,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20404910,8077007
2024-05-13 23:46:47,25450,VerletListsCells,1.000000,vlc_c18,none,AoS,disabled,23582160,11028743
2024-05-13 23:48:28,26600,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,19970775,8290373
2024-05-13 23:49:57,27750,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20463744,8424612
2024-05-13 23:51:25,28900,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,19638726,8070238
2024-05-13 23:52:53,30050,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20516023,8082458
2024-05-13 23:54:20,31200,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20096039,7998786
2024-05-13 23:55:48,32350,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20818277,8500752
2024-05-13 23:57:20,33500,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,21319271,8516585
2024-05-13 23:58:51,34650,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20247021,8458131
2024-05-14 00:00:23,35800,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,21004403,8709765
2024-05-14 00:02:02,36950,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,21318349,8366123
2024-05-14 00:03:46,38100,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20804662,8930143
2024-05-14 00:05:18,39250,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,21425851,8707760
2024-05-14 00:06:52,40400,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20375290,11375114
2024-05-14 00:08:24,41550,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,26507065,9199225
2024-05-14 00:09:56,42700,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20392723,8583782
2024-05-14 00:11:30,43850,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20627192,8855928
2024-05-14 00:13:09,45000,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20657456,9131650
