Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed
2024-05-15 01:59:42,2,LinkedCells,1.000000,lc_c01,none,AoS,disabled,20259730,18726518,15589509,16056531,16056531
2024-05-15 01:59:42,5,LinkedCells,1.000000,lc_c01,none,SoA,disabled,170243089,59530773,42323152,55115145,55115145
2024-05-15 01:59:43,8,LinkedCells,1.000000,lc_c04,none,AoS,disabled,15065997,18560309,16866085,16686076,16686076
2024-05-15 01:59:43,11,LinkedCells,1.000000,lc_c04,none,AoS,enabled,108962932,13349152,13275376,22844131,22844131
2024-05-15 01:59:43,14,LinkedCells,1.000000,lc_c04,none,SoA,disabled,30219779,28915397,27173253,27477905,27477905
2024-05-15 01:59:43,17,LinkedCells,1.000000,lc_c04,none,SoA,enabled,32646568,26698576,29394584,27293375,27293375
2024-05-15 01:59:43,20,LinkedCells,1.000000,lc_c08,none,AoS,disabled,7020126,8869273,5664441,5800009,5800009
2024-05-15 01:59:44,23,LinkedCells,1.000000,lc_c08,none,AoS,enabled,6148425,4895852,4991355,5021109,5021109
2024-05-15 01:59:44,26,LinkedCells,1.000000,lc_c08,none,SoA,disabled,44525597,39419869,27027120,28776967,28776967
2024-05-15 01:59:44,29,LinkedCells,1.000000,lc_c08,none,SoA,enabled,25223823,30246398,26471893,26347086,26347086
2024-05-15 01:59:44,32,LinkedCells,1.000000,lc_c18,none,AoS,disabled,5553555,8305709,15444524,8030493,8030493
2024-05-15 01:59:44,35,LinkedCells,1.000000,lc_c18,none,AoS,enabled,4547848,4535174,8857281,4536441,4536441
2024-05-15 01:59:44,38,LinkedCells,1.000000,lc_c18,none,SoA,disabled,29443611,30946683,26746255,27015990,27015990
2024-05-15 01:59:45,41,LinkedCells,1.000000,lc_c18,none,SoA,enabled,26125558,27431944,25876824,25901697,25901697
2024-05-15 01:59:45,44,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,17885439,17546992,18656188,17580836,17580836
2024-05-15 01:59:45,47,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,15171744,16318745,17514116,16204044,16204044
2024-05-15 01:59:45,50,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,32715400,38299737,35962785,35638046,35638046
2024-05-15 01:59:45,53,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,30077076,30739157,34050448,30672948,30672948
2024-05-15 01:59:46,56,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,17694693,17158583,17394954,17212194,17212194
2024-05-15 01:59:46,59,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,42320202,15500137,15697345,18182143,18182143
2024-05-15 01:59:46,62,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,57927779,34445034,35557740,36793308,36793308
2024-05-15 01:59:46,65,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,29399978,40197479,33080196,32712174,32712174
2024-05-15 01:59:46,68,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,17865020,17653446,23635109,17674603,17674603
2024-05-15 01:59:47,71,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,15128513,14284179,16454868,14368612,14368612
2024-05-15 01:59:47,74,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,41624983,40666295,40955644,40762163,40762163
2024-05-15 01:59:47,77,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,40766259,37256071,43469136,37607089,37607089
2024-05-15 01:59:47,80,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,24861513,19892706,18421419,19065428,19065428
2024-05-15 01:59:47,83,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,16288899,15774208,16578419,15825677,15825677
2024-05-15 01:59:48,86,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,36946062,37405559,39927386,37359609,37359609
2024-05-15 01:59:48,89,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,35497267,36787546,36050650,35995311,35995311
2024-05-15 01:59:48,92,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,68684242,12797453,8070912,14132245,14132245
2024-05-15 01:59:48,95,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,50977627,11298426,7058593,11450496,11450496
2024-05-15 01:59:48,98,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,109412893,57128626,57283045,62357052,62357052
2024-05-15 01:59:49,101,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,58494267,30691127,30856345,33471441,33471441
2024-05-15 01:59:49,104,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,75228397,32065714,39453310,36381982,36381982
2024-05-15 01:59:49,107,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,43431745,15327850,15067301,17903745,17903745
